compound_id,name_cn,feature,stored,RDKit,delta
HP-001,槲皮素,logP_est,0.8,1.988,1.188
HP-001,槲皮素,TPSA_est,148.9,131.36,-17.539999999999992
HP-001,槲皮素,nRot,0.0,1,1.0
HP-001,槲皮素,nAromSystems,2.0,3,1.0
HP-002,山奈酚,MW,284.22,286.23900000000003,2.0190000000000055
HP-002,山奈酚,logP_est,1.22,2.2824000000000004,1.0624000000000005
HP-002,山奈酚,TPSA_est,127.2,111.13000000000001,-16.069999999999993
HP-002,山奈酚,nRot,0.0,1,1.0
HP-002,山奈酚,nAromSystems,2.0,3,1.0
HP-003,芦丁,MW,630.68,610.5210000000003,-20.15899999999965
HP-003,芦丁,logP_est,0.26,-1.687100000000001,-1.947100000000001
HP-003,芦丁,TPSA_est,338.2,269.42999999999995,-68.77000000000004
HP-003,芦丁,nRot,1.0,6,5.0
HP-003,芦丁,nAromSystems,2.0,3,1.0
HP-004,芹菜素,MW,268.22,270.24,2.019999999999982
HP-004,芹菜素,logP_est,1.64,2.576800000000001,0.936800000000001
HP-004,芹菜素,TPSA_est,105.5,90.9,-14.599999999999994
HP-004,芹菜素,nRot,0.0,1,1.0
HP-004,芹菜素,nAromSystems,2.0,3,1.0
HP-005,木犀草素,logP_est,1.22,2.2824000000000004,1.0624000000000005
HP-005,木犀草素,TPSA_est,127.2,111.13000000000001,-16.069999999999993
HP-005,木犀草素,nRot,0.0,1,1.0
HP-005,木犀草素,nAromSystems,2.0,3,1.0
HP-006,黄芩素,MW,250.21,254.24099999999999,4.0309999999999775
HP-006,黄芩素,logP_est,2.06,2.8712000000000018,0.8112000000000017
HP-006,黄芩素,TPSA_est,83.8,70.67,-13.129999999999995
HP-006,黄芩素,nRot,0.0,1,1.0
HP-006,黄芩素,nAromSystems,2.0,3,1.0
HP-007,黄芩苷,MW,434.4,430.36500000000007,-4.034999999999911
HP-007,黄芩苷,logP_est,1.16,0.4365999999999995,-0.7234000000000005
HP-007,黄芩苷,TPSA_est,209.5,166.89000000000001,-42.609999999999985
HP-007,黄芩苷,nHBA,10.0,9,-1.0
HP-007,黄芩苷,nRot,1.0,4,3.0
HP-007,黄芩苷,nAromSystems,2.0,3,1.0
HP-008,汉黄芩素,MW,266.25,268.268,2.0179999999999723
HP-008,汉黄芩素,logP_est,2.33,3.1742000000000017,0.8442000000000016
HP-008,汉黄芩素,TPSA_est,82.3,59.67,-22.629999999999995
HP-008,汉黄芩素,nRot,1.0,2,1.0
HP-008,汉黄芩素,nAromSystems,2.0,3,1.0
HP-009,柚皮素,MW,288.3,286.2830000000001,-2.016999999999939
HP-009,柚皮素,logP_est,1.91,2.4388000000000005,0.5288000000000006
HP-009,柚皮素,TPSA_est,105.5,86.99000000000001,-18.50999999999999
HP-009,柚皮素,nRot,0.0,1,1.0
HP-010,橙皮苷,MW,650.8,624.5920000000002,-26.207999999999743
HP-010,橙皮苷,logP_est,0.72,-1.2276999999999996,-1.9476999999999995
HP-010,橙皮苷,TPSA_est,315.0,234.28999999999996,-80.71000000000004
HP-010,橙皮苷,nRot,2.0,7,5.0
HP-011,染料木素,MW,268.22,270.24,2.019999999999982
HP-011,染料木素,logP_est,1.64,2.576800000000001,0.936800000000001
HP-011,染料木素,TPSA_est,105.5,90.9,-14.599999999999994
HP-011,染料木素,nRot,0.0,1,1.0
HP-011,染料木素,nAromSystems,2.0,3,1.0
HP-012,大豆苷元,MW,250.21,254.24099999999999,4.0309999999999775
HP-012,大豆苷元,logP_est,2.06,2.871200000000001,0.8112000000000008
HP-012,大豆苷元,TPSA_est,83.8,70.67,-13.129999999999995
HP-012,大豆苷元,nRot,0.0,1,1.0
HP-012,大豆苷元,nAromSystems,2.0,3,1.0
HP-013,葛根素,MW,424.45,416.3820000000001,-8.06799999999987
HP-013,葛根素,logP_est,1.58,0.3860999999999997,-1.1939000000000004
HP-013,葛根素,TPSA_est,190.8,160.82,-29.980000000000018
HP-013,葛根素,nRot,1.0,3,2.0
HP-013,葛根素,nAromSystems,2.0,3,1.0
HP-014,二氢杨梅素,MW,354.36,320.253,-34.10700000000003
HP-014,二氢杨梅素,TPSA_est,170.6,147.68,-22.919999999999987
HP-014,二氢杨梅素,nRot,0.0,1,1.0
HP-015,水飞蓟宾,MW,374.43,364.35,-10.079999999999984
HP-015,水飞蓟宾,logP_est,1.19,1.2938999999999996,0.10389999999999966
HP-015,水飞蓟宾,TPSA_est,169.1,128.84,-40.25999999999999
HP-015,水飞蓟宾,nRot,1.0,4,3.0
HP-016,姜黄素,MW,364.44,368.38500000000005,3.94500000000005
HP-016,姜黄素,logP_est,2.57,3.3699000000000026,0.7999000000000027
HP-016,姜黄素,TPSA_est,124.2,93.06000000000002,-31.139999999999986
HP-016,姜黄素,nRot,2.0,8,6.0
HP-017,白藜芦醇,MW,226.23,228.247,2.0170000000000243
HP-017,白藜芦醇,logP_est,2.21,2.9738000000000016,0.7638000000000016
HP-017,白藜芦醇,TPSA_est,65.1,60.69,-4.409999999999997
HP-017,白藜芦醇,nRot,0.0,2,2.0
HP-018,虎杖苷,MW,398.45,390.3880000000001,-8.061999999999898
HP-018,虎杖苷,logP_est,1.61,-1.1200999999999997,-2.7300999999999997
HP-018,虎杖苷,TPSA_est,170.6,139.84,-30.75999999999999
HP-018,虎杖苷,nRot,1.0,3,2.0
HP-019,红景天苷,MW,312.4,300.307,-12.092999999999961
