compound_id,target,returncode,original_score,rerun_score,abs_difference,seconds,command
HP-007,FXR_LBD,0,-8.877,-8.877,0.0,22.76,"[""D:\\zcode-workspace\\final-aidd-screening\\docking\\vina.exe"", ""--receptor"", ""D:\\zcode-workspace\\final-aidd-screening\\docking\\receptors\\FXR_LBD_1OSH.pdbqt"", ""--ligand"", ""D:\\zcode-workspace\\final-aidd-screening\\docking\\ligands\\HP-007.pdbqt"", ""--out"", ""D:\\zcode-workspace\\research-audit-20260905\\docking_rechecks\\HP-007_FXR_LBD_out.pdbqt"", ""--center_x"", ""5.23"", ""--center_y"", ""29.0"", ""--center_z"", ""53.67"", ""--size_x"", ""19.4"", ""--size_y"", ""22.5"", ""--size_z"", ""24.8"", ""--exhaustiveness"", ""8"", ""--seed"", ""42"", ""--num_modes"", ""9"", ""--cpu"", ""4""]"
HP-007,KEAP1_KELCH,0,-10.36,-10.36,0.0,22.0,"[""D:\\zcode-workspace\\final-aidd-screening\\docking\\vina.exe"", ""--receptor"", ""D:\\zcode-workspace\\final-aidd-screening\\docking\\receptors\\KEAP1_KELCH_4IQK.pdbqt"", ""--ligand"", ""D:\\zcode-workspace\\final-aidd-screening\\docking\\ligands\\HP-007.pdbqt"", ""--out"", ""D:\\zcode-workspace\\research-audit-20260905\\docking_rechecks\\HP-007_KEAP1_KELCH_out.pdbqt"", ""--center_x"", ""-47.07"", ""--center_y"", ""4.21"", ""--center_z"", ""-13.13"", ""--size_x"", ""22.1"", ""--size_y"", ""21.9"", ""--size_z"", ""18.6"", ""--exhaustiveness"", ""8"", ""--seed"", ""42"", ""--num_modes"", ""9"", ""--cpu"", ""4""]"
HP-005,FXR_LBD,0,-9.138,-9.138,0.0,6.41,"[""D:\\zcode-workspace\\final-aidd-screening\\docking\\vina.exe"", ""--receptor"", ""D:\\zcode-workspace\\final-aidd-screening\\docking\\receptors\\FXR_LBD_1OSH.pdbqt"", ""--ligand"", ""D:\\zcode-workspace\\final-aidd-screening\\docking\\ligands\\HP-005.pdbqt"", ""--out"", ""D:\\zcode-workspace\\research-audit-20260905\\docking_rechecks\\HP-005_FXR_LBD_out.pdbqt"", ""--center_x"", ""5.23"", ""--center_y"", ""29.0"", ""--center_z"", ""53.67"", ""--size_x"", ""19.4"", ""--size_y"", ""22.5"", ""--size_z"", ""24.8"", ""--exhaustiveness"", ""8"", ""--seed"", ""42"", ""--num_modes"", ""9"", ""--cpu"", ""4""]"
HP-005,KEAP1_KELCH,0,-8.522,-8.522,0.0,6.36,"[""D:\\zcode-workspace\\final-aidd-screening\\docking\\vina.exe"", ""--receptor"", ""D:\\zcode-workspace\\final-aidd-screening\\docking\\receptors\\KEAP1_KELCH_4IQK.pdbqt"", ""--ligand"", ""D:\\zcode-workspace\\final-aidd-screening\\docking\\ligands\\HP-005.pdbqt"", ""--out"", ""D:\\zcode-workspace\\research-audit-20260905\\docking_rechecks\\HP-005_KEAP1_KELCH_out.pdbqt"", ""--center_x"", ""-47.07"", ""--center_y"", ""4.21"", ""--center_z"", ""-13.13"", ""--size_x"", ""22.1"", ""--size_y"", ""21.9"", ""--size_z"", ""18.6"", ""--exhaustiveness"", ""8"", ""--seed"", ""42"", ""--num_modes"", ""9"", ""--cpu"", ""4""]"
HP-032,FXR_LBD,0,-7.773,-7.773,0.0,5.45,"[""D:\\zcode-workspace\\final-aidd-screening\\docking\\vina.exe"", ""--receptor"", ""D:\\zcode-workspace\\final-aidd-screening\\docking\\receptors\\FXR_LBD_1OSH.pdbqt"", ""--ligand"", ""D:\\zcode-workspace\\final-aidd-screening\\docking\\ligands\\HP-032.pdbqt"", ""--out"", ""D:\\zcode-workspace\\research-audit-20260905\\docking_rechecks\\HP-032_FXR_LBD_out.pdbqt"", ""--center_x"", ""5.23"", ""--center_y"", ""29.0"", ""--center_z"", ""53.67"", ""--size_x"", ""19.4"", ""--size_y"", ""22.5"", ""--size_z"", ""24.8"", ""--exhaustiveness"", ""8"", ""--seed"", ""42"", ""--num_modes"", ""9"", ""--cpu"", ""4""]"
HP-032,KEAP1_KELCH,0,-8.82,-8.82,0.0,5.31,"[""D:\\zcode-workspace\\final-aidd-screening\\docking\\vina.exe"", ""--receptor"", ""D:\\zcode-workspace\\final-aidd-screening\\docking\\receptors\\KEAP1_KELCH_4IQK.pdbqt"", ""--ligand"", ""D:\\zcode-workspace\\final-aidd-screening\\docking\\ligands\\HP-032.pdbqt"", ""--out"", ""D:\\zcode-workspace\\research-audit-20260905\\docking_rechecks\\HP-032_KEAP1_KELCH_out.pdbqt"", ""--center_x"", ""-47.07"", ""--center_y"", ""4.21"", ""--center_z"", ""-13.13"", ""--size_x"", ""22.1"", ""--size_y"", ""21.9"", ""--size_z"", ""18.6"", ""--exhaustiveness"", ""8"", ""--seed"", ""42"", ""--num_modes"", ""9"", ""--cpu"", ""4""]"
NV-008,FXR_LBD,0,-5.481,-5.481,0.0,41.68,"[""D:\\zcode-workspace\\final-aidd-screening\\docking\\vina.exe"", ""--receptor"", ""D:\\zcode-workspace\\final-aidd-screening\\docking\\receptors\\FXR_LBD_1OSH.pdbqt"", ""--ligand"", ""D:\\zcode-workspace\\final-aidd-screening\\docking\\ligands\\NV-008.pdbqt"", ""--out"", ""D:\\zcode-workspace\\research-audit-20260905\\docking_rechecks\\NV-008_FXR_LBD_out.pdbqt"", ""--center_x"", ""5.23"", ""--center_y"", ""29.0"", ""--center_z"", ""53.67"", ""--size_x"", ""19.4"", ""--size_y"", ""22.5"", ""--size_z"", ""24.8"", ""--exhaustiveness"", ""8"", ""--seed"", ""42"", ""--num_modes"", ""9"", ""--cpu"", ""4""]"
NV-008,KEAP1_KELCH,0,-6.41,-6.41,0.0,41.25,"[""D:\\zcode-workspace\\final-aidd-screening\\docking\\vina.exe"", ""--receptor"", ""D:\\zcode-workspace\\final-aidd-screening\\docking\\receptors\\KEAP1_KELCH_4IQK.pdbqt"", ""--ligand"", ""D:\\zcode-workspace\\final-aidd-screening\\docking\\ligands\\NV-008.pdbqt"", ""--out"", ""D:\\zcode-workspace\\research-audit-20260905\\docking_rechecks\\NV-008_KEAP1_KELCH_out.pdbqt"", ""--center_x"", ""-47.07"", ""--center_y"", ""4.21"", ""--center_z"", ""-13.13"", ""--size_x"", ""22.1"", ""--size_y"", ""21.9"", ""--size_z"", ""18.6"", ""--exhaustiveness"", ""8"", ""--seed"", ""42"", ""--num_modes"", ""9"", ""--cpu"", ""4""]"
NV-011,FXR_LBD,0,-7.461,-7.461,0.0,17.96,"[""D:\\zcode-workspace\\final-aidd-screening\\docking\\vina.exe"", ""--receptor"", ""D:\\zcode-workspace\\final-aidd-screening\\docking\\receptors\\FXR_LBD_1OSH.pdbqt"", ""--ligand"", ""D:\\zcode-workspace\\final-aidd-screening\\docking\\ligands\\NV-011.pdbqt"", ""--out"", ""D:\\zcode-workspace\\research-audit-20260905\\docking_rechecks\\NV-011_FXR_LBD_out.pdbqt"", ""--center_x"", ""5.23"", ""--center_y"", ""29.0"", ""--center_z"", ""53.67"", ""--size_x"", ""19.4"", ""--size_y"", ""22.5"", ""--size_z"", ""24.8"", ""--exhaustiveness"", ""8"", ""--seed"", ""42"", ""--num_modes"", ""9"", ""--cpu"", ""4""]"
NV-011,KEAP1_KELCH,0,-7.36,-7.36,0.0,16.54,"[""D:\\zcode-workspace\\final-aidd-screening\\docking\\vina.exe"", ""--receptor"", ""D:\\zcode-workspace\\final-aidd-screening\\docking\\receptors\\KEAP1_KELCH_4IQK.pdbqt"", ""--ligand"", ""D:\\zcode-workspace\\final-aidd-screening\\docking\\ligands\\NV-011.pdbqt"", ""--out"", ""D:\\zcode-workspace\\research-audit-20260905\\docking_rechecks\\NV-011_KEAP1_KELCH_out.pdbqt"", ""--center_x"", ""-47.07"", ""--center_y"", ""4.21"", ""--center_z"", ""-13.13"", ""--size_x"", ""22.1"", ""--size_y"", ""21.9"", ""--size_z"", ""18.6"", ""--exhaustiveness"", ""8"", ""--seed"", ""42"", ""--num_modes"", ""9"", ""--cpu"", ""4""]"
