compound_id,target,csv_score,pose_score,matches,note
HP-001,FXR_LBD,-8.863,-8.863,True,cached
HP-001,KEAP1_KELCH,-8.412,-8.412,True,cached
HP-002,FXR_LBD,-8.155,-8.155,True,cached
HP-002,KEAP1_KELCH,-7.745,-7.745,True,cached
HP-003,FXR_LBD,-7.474,-7.474,True,cached
HP-003,KEAP1_KELCH,-8.658,-8.658,True,cached
HP-004,FXR_LBD,-9.034,-9.034,True,cached
HP-004,KEAP1_KELCH,-8.493,-8.493,True,cached
HP-005,FXR_LBD,-9.138,-9.138,True,cached
HP-005,KEAP1_KELCH,-8.522,-8.522,True,cached
HP-006,FXR_LBD,-8.696,-8.696,True,cached
HP-006,KEAP1_KELCH,-8.096,-8.096,True,cached
HP-007,FXR_LBD,-8.877,-8.877,True,cached
HP-007,KEAP1_KELCH,-10.36,-10.36,True,cached
HP-008,FXR_LBD,-8.82,-8.82,True,cached
HP-008,KEAP1_KELCH,-8.191,-8.191,True,cached
HP-009,FXR_LBD,-6.383,-6.383,True,cached
HP-009,KEAP1_KELCH,-6.592,-6.592,True,cached
HP-010,FXR_LBD,-6.22,-6.22,True,cached
HP-010,KEAP1_KELCH,-7.254,-7.254,True,cached
HP-011,FXR_LBD,-8.856,-8.856,True,cached
HP-011,KEAP1_KELCH,-8.402,-8.402,True,cached
HP-012,FXR_LBD,-8.784,-8.784,True,cached
HP-012,KEAP1_KELCH,-7.935,-7.935,True,cached
HP-013,FXR_LBD,-8.675,-8.675,True,cached
HP-013,KEAP1_KELCH,-9.672,-9.672,True,cached
HP-014,FXR_LBD,-8.469,-8.469,True,cached
HP-014,KEAP1_KELCH,-8.695,-8.695,True,cached
HP-015,FXR_LBD,-6.671,-6.671,True,cached
HP-015,KEAP1_KELCH,-6.571,-6.571,True,cached
HP-016,FXR_LBD,-9.329,-9.329,True,cached
HP-016,KEAP1_KELCH,-8.283,-8.283,True,cached
HP-017,FXR_LBD,-8.513,-8.513,True,cached
HP-017,KEAP1_KELCH,-7.768,-7.768,True,cached
HP-018,FXR_LBD,-5.428,-5.428,True,cached
HP-018,KEAP1_KELCH,-7.186,-7.186,True,cached
HP-019,FXR_LBD,-7.916,-7.916,True,cached
HP-019,KEAP1_KELCH,-7.506,-7.506,True,cached
HP-020,FXR_LBD,-6.918,-6.918,True,cached
HP-020,KEAP1_KELCH,-8.238,-8.238,True,cached
HP-021,FXR_LBD,-6.103,-6.103,True,cached
HP-021,KEAP1_KELCH,-6.263,-6.263,True,cached
HP-022,FXR_LBD,-6.274,-6.274,True,cached
HP-022,KEAP1_KELCH,-5.958,-5.958,True,cached
HP-023,FXR_LBD,-6.561,-6.561,True,cached
HP-023,KEAP1_KELCH,-6.183,-6.183,True,cached
HP-024,FXR_LBD,-6.747,-6.747,True,cached
HP-024,KEAP1_KELCH,-5.915,-5.915,True,cached
HP-025,FXR_LBD,-7.557,-7.557,True,cached
HP-025,KEAP1_KELCH,-7.115,-7.115,True,cached
HP-026,FXR_LBD,-7.475,-7.475,True,cached
HP-026,KEAP1_KELCH,-7.262,-7.262,True,cached
HP-027,FXR_LBD,-5.614,-5.614,True,cached
HP-027,KEAP1_KELCH,-7.994,-7.994,True,cached
HP-028,FXR_LBD,-7.968,-7.968,True,cached
HP-028,KEAP1_KELCH,-7.912,-7.912,True,cached
HP-029,FXR_LBD,-8.894,-8.894,True,cached
HP-029,KEAP1_KELCH,-10.19,-10.188,True,cached
HP-030,FXR_LBD,-7.915,-7.915,True,cached
HP-030,KEAP1_KELCH,-7.571,-7.571,True,cached
HP-031,FXR_LBD,-8.391,-8.391,True,cached
HP-031,KEAP1_KELCH,-8.957,-8.957,True,cached
HP-032,FXR_LBD,-7.773,-7.773,True,cached
HP-032,KEAP1_KELCH,-8.82,-8.82,True,cached
HP-033,FXR_LBD,-8.26,-8.26,True,cached
HP-033,KEAP1_KELCH,-7.997,-7.997,True,cached
HP-034,FXR_LBD,-7.903,-7.903,True,cached
HP-034,KEAP1_KELCH,-7.985,-7.985,True,cached
HP-035,FXR_LBD,-6.785,-6.785,True,cached
HP-035,KEAP1_KELCH,-7.411,-7.411,True,cached
HP-036,FXR_LBD,-7.835,-7.835,True,cached
HP-036,KEAP1_KELCH,-8.39,-8.39,True,cached
HP-037,FXR_LBD,-6.781,-6.781,True,cached
HP-037,KEAP1_KELCH,-7.073,-7.073,True,cached
HP-038,FXR_LBD,-6.344,-6.344,True,cached
HP-038,KEAP1_KELCH,-7.992,-7.992,True,cached
HP-039,FXR_LBD,-4.231,-4.231,True,cached
HP-039,KEAP1_KELCH,-8.592,-8.592,True,cached
HP-040,FXR_LBD,-6.423,-6.423,True,cached
HP-040,KEAP1_KELCH,-8.015,-8.015,True,cached
HP-041,FXR_LBD,-7.673,-7.673,True,cached
HP-041,KEAP1_KELCH,-7.989,-7.989,True,cached
HP-042,FXR_LBD,-5.793,-5.793,True,cached
HP-042,KEAP1_KELCH,-6.015,-6.015,True,cached
HP-043,FXR_LBD,,,False,PREP_FAIL
HP-043,KEAP1_KELCH,,,False,PREP_FAIL
HP-044,FXR_LBD,-6.841,-6.841,True,cached
HP-044,KEAP1_KELCH,-6.733,-6.733,True,cached
HP-045,FXR_LBD,-7.59,-7.59,True,cached
HP-045,KEAP1_KELCH,-6.09,-6.09,True,cached
HP-046,FXR_LBD,-7.731,-7.731,True,cached
HP-046,KEAP1_KELCH,-6.259,-6.259,True,cached
HP-047,FXR_LBD,-7.539,-7.539,True,cached
HP-047,KEAP1_KELCH,-6.503,-6.503,True,cached
HP-048,FXR_LBD,-8.897,-8.897,True,cached
HP-048,KEAP1_KELCH,-7.906,-7.906,True,cached
NV-001,FXR_LBD,-8.073,-8.073,True,cached
NV-001,KEAP1_KELCH,-10.41,-10.411,True,cached
NV-002,FXR_LBD,-4.016,-4.016,True,cached
NV-002,KEAP1_KELCH,-7.978,-7.978,True,cached
NV-003,FXR_LBD,-6.268,-6.268,True,cached
NV-003,KEAP1_KELCH,-8.435,-8.435,True,cached
NV-004,FXR_LBD,-3.895,-3.895,True,cached
NV-004,KEAP1_KELCH,-7.987,-7.987,True,cached
NV-005,FXR_LBD,-4.546,-4.546,True,cached
NV-005,KEAP1_KELCH,-5.886,-5.886,True,cached
NV-006,FXR_LBD,-8.314,-8.314,True,cached
NV-006,KEAP1_KELCH,-8.067,-8.067,True,cached
NV-007,FXR_LBD,-8.33,-8.33,True,cached
NV-007,KEAP1_KELCH,-7.772,-7.772,True,cached
NV-008,FXR_LBD,-5.481,-5.481,True,cached
NV-008,KEAP1_KELCH,-6.41,-6.41,True,cached
NV-009,FXR_LBD,-8.655,-8.655,True,cached
NV-009,KEAP1_KELCH,-7.915,-7.915,True,cached
NV-010,FXR_LBD,-5.821,-5.821,True,cached
NV-010,KEAP1_KELCH,-6.397,-6.397,True,cached
NV-011,FXR_LBD,-7.461,-7.461,True,cached
NV-011,KEAP1_KELCH,-7.36,-7.36,True,cached
NV-012,FXR_LBD,-6.023,-6.023,True,cached
NV-012,KEAP1_KELCH,-9.532,-9.532,True,cached
