compound_id,prepared,original_exists,byte_identical
HP-001,True,True,True
HP-002,True,True,True
HP-003,True,True,True
HP-004,True,True,True
HP-005,True,True,True
HP-006,True,True,True
HP-007,True,True,True
HP-008,True,True,True
HP-009,True,True,True
HP-010,True,True,True
HP-011,True,True,True
HP-012,True,True,True
HP-013,True,True,True
HP-014,True,True,True
HP-015,True,True,True
HP-016,True,True,True
HP-017,True,True,True
HP-018,True,True,True
HP-019,True,True,True
HP-020,True,True,True
HP-021,True,True,True
HP-022,True,True,True
HP-023,True,True,True
HP-024,True,True,True
HP-025,True,True,True
HP-026,True,True,True
HP-027,True,True,True
HP-028,True,True,True
HP-029,True,True,True
HP-030,True,True,True
HP-031,True,True,True
HP-032,True,True,True
HP-033,True,True,True
HP-034,True,True,True
HP-035,True,True,True
HP-036,True,True,True
HP-037,True,True,True
HP-038,True,True,True
HP-039,True,True,True
HP-040,True,True,True
HP-041,True,True,True
HP-042,True,True,True
HP-043,False,False,False
HP-044,True,True,True
HP-045,True,True,True
HP-046,True,True,True
HP-047,True,True,True
HP-048,True,True,True
NV-001,True,True,True
NV-002,True,True,True
NV-003,True,True,True
NV-004,True,True,True
NV-005,True,True,True
NV-006,True,True,True
NV-007,True,True,True
NV-008,True,True,True
NV-009,True,True,True
NV-010,True,True,True
NV-011,True,True,True
NV-012,True,True,True
