path,bytes,sha256
README.md,2165,33a67ee822ca7c8df2b6d5e6af5172191738cbc0b8095f44413a3b4cf16f8dc3
REPORT.md,8597,d115b9fdc7f119973505be8183223a38bc2d084e328f33f2f48b2ea95e531241
run_all.py,2234,7e15597a19c5c65919bb1c57a63387a28a3ae2fa2ea4742b236e2699243f2731
data\cleaned_compounds.csv,22184,b0263caa0fe3d0660e34a71fadc51e40a20008492532043204f553bda23cf934
data\screening_pool.csv,4213,3cf2c4b10a3c23f883f8386c6e9d3e4f2d0a1cd83cf1cd2bbe1367975b9677c9
data\smiles_fix.json,1026,29ce0611228629c6814766e54999cc75f7e9161d5b023d7adf1bbec0df4e2fac
docking\boxes.json,322,37dfe0defb0917bb570db3f859a206777e0c3fb341999917b3af9626e102447b
docking\redock_gate.json,211,705022e8c024bb5fbd13396e02da2d4dc10c267d7b79b3af465926b30896a33b
docking\vina.exe,1233920,e0c4b2715e0c1a74f6e92d0f3be0328ac97542eafbc111e6b1efad897a73cce5
results\logs_s4.txt,677,8cc7b94086f234fe00a356bbe16a13b07c56047aa1de24e0e104a7fdb7f8c486
results\summary.json,2123,03e2183cc12b2739594a7f62c18113121ae26e921b3b9ce15b203c7d21d8fe8c
results\targets.json,1272,223d0e88ed9dc4fb8a9e2e61a566fbb3b49f413e07fa0f9302708e8ac945c441
src\common.py,6677,d8bc12aedb45659f5f1b1b427cf9a275d89c55dcab2788ea1e09fd0ed9bcc789
src\s1_target_profile.py,2436,3ea180289ea5ad84cdd7bbcc807c17c4c879d53dde6b3fb97a04369a6b8d3ce1
src\s2_prep_redock.py,6618,cf96eaf6b3e1783672203e783d4ad4ef700067f6e938a08ceb80f9971b83bbb0
src\s3_model.py,12255,961cfa3f11d99c7ca4776c05edb964d9b9c2b8d611e397f550a4282654ee3a2c
src\s4_dock.py,6424,e86a6a0ed2ef9bdeec14d4718257ead41c4455603011cc14654c31a98f3ced3a
src\s5_fuse_select.py,5846,09c2ade97357cede898dbb3867f66cba1ca63d5a0a3c9df69a6a1920444794e1
src\s6_report.py,4454,6ce9dd502ce81f385985c5f2da3bfb88d5ac9795eb468c626e1da8551ded6a22
data\splits\test.csv,5181,0808e6275290e89a63a3d47cb4a474d9ba6a3e0db7e72f8bb0e3aaf5e2582bf2
data\splits\train.csv,13429,d5b87c068889e9a3086dfffed557488b4a659ef7f5d7ed85aeb9ecfb0aa85bc3
data\splits\val.csv,3935,e8cb8018434cf9a7d059a24e35a09280ca58e4103ff89e4da77af2081bbffbcc
docking\ligands\FXR_LBD_FEX_redock.pdbqt,3871,ad9b91ec067d4ec41064179991a1f07667d8bb6c3712912c89c642ca69a93887
docking\ligands\HP-001.pdbqt,2679,e02eb4c85d8613bac183e786bc645549858f032952d1efcc99e6043c9be42dd7
docking\ligands\HP-002.pdbqt,2467,6973b70650bf232fab80a4e338a2c74b82f889be93504b7d26f08834a854a5cf
docking\ligands\HP-003.pdbqt,5387,4354d2dafa4119359289409656b458467ac3eb132808b29c34ad17c5aaff2962
docking\ligands\HP-004.pdbqt,2255,6684c91e25bea078dedbfa943cdc6d27626986d874dea080ff679a6b2b6c4f28
docking\ligands\HP-005.pdbqt,2467,c857782c46fb150449b104c384d73de041f01949361a264a46dd9281dde4e9c0
docking\ligands\HP-006.pdbqt,2044,c3987b23c21a3fcc8a36185173a509c5eab24410a1dc8f7cf8cf7f82fd61cdd8
docking\ligands\HP-007.pdbqt,3598,b75fb4a3780f566121c1f1c24eadb99e68b0ec4f2b454f69bee639294dc23e47
docking\ligands\HP-008.pdbqt,2043,54a60485c28cead6da6034c3e17b729d1652de8e47f8164c744824780b54e173
docking\ligands\HP-009.pdbqt,2716,b8f877b60e19118f2fae1a9cb2113642b898052dea294a52144c426fe5d929bd
docking\ligands\HP-010.pdbqt,5636,72f8c0e8b79f306a072e2ec8ab021eca3f22484839ed9047d4560fffb3a4f691
docking\ligands\HP-011.pdbqt,2255,0412f2c9b6c6a73667eddd65b9eae42f76450fff238711a7ec327edd05a6a0d9
docking\ligands\HP-012.pdbqt,2043,4e7c7f83e3806a01c3749c8ca5835c8acf629e308395e5b325dc59976b48b7ad
docking\ligands\HP-013.pdbqt,3598,85cb7995e4e5386329535e892123642511d1caa25d48882e400932f70f18610f
docking\ligands\HP-014.pdbqt,2914,a495f8d2f0a87186a234a067503666162af73b0975df21213cc64dd9a64d4044
docking\ligands\HP-015.pdbqt,3525,372b8fcca8d0210dc80360f56e9cba10c02b88fb44368ad4d05461befff4aa8c
