compound_id,name_cn,target,prepared_structure_matches_input,heavy_atoms,nearest_receptor_heavy_A,pairs_under_1_5A,atoms_outside_box
HP-001,槲皮素,FXR_LBD,True,22,2.7586201260775285,0,0
HP-001,槲皮素,KEAP1_KELCH,True,22,2.784105601445463,0,0
HP-002,山奈酚,FXR_LBD,True,21,2.9844371328610704,0,0
HP-002,山奈酚,KEAP1_KELCH,True,21,3.019422130143449,0,0
HP-003,芦丁,FXR_LBD,True,43,2.4639744316855237,0,0
HP-003,芦丁,KEAP1_KELCH,True,43,2.9252210172908306,0,0
HP-004,芹菜素,FXR_LBD,True,20,2.811352343623975,0,0
HP-004,芹菜素,KEAP1_KELCH,True,20,3.1298017509101115,0,0
HP-005,木犀草素,FXR_LBD,True,21,2.8121934499603682,0,0
HP-005,木犀草素,KEAP1_KELCH,True,21,3.1280474740642923,0,0
HP-006,黄芩素,FXR_LBD,True,19,2.8779888811459986,0,0
HP-006,黄芩素,KEAP1_KELCH,True,19,2.9187219805935642,0,0
HP-007,黄芩苷,FXR_LBD,True,31,2.561314115839761,0,0
HP-007,黄芩苷,KEAP1_KELCH,True,31,2.583671418737297,0,1
HP-008,汉黄芩素,FXR_LBD,True,20,2.855643184993533,0,0
HP-008,汉黄芩素,KEAP1_KELCH,True,20,2.8227911718722654,0,1
HP-009,柚皮素,FXR_LBD,True,23,2.8513317940920175,0,0
HP-009,柚皮素,KEAP1_KELCH,True,23,3.2029594127931102,0,0
HP-010,橙皮苷,FXR_LBD,True,46,2.8330945977852564,0,1
HP-010,橙皮苷,KEAP1_KELCH,True,46,2.76578343331505,0,0
HP-011,染料木素,FXR_LBD,True,20,2.499764988953962,0,0
HP-011,染料木素,KEAP1_KELCH,True,20,2.732337277863038,0,1
HP-012,大豆苷元,FXR_LBD,True,19,2.8732159682140157,0,0
HP-012,大豆苷元,KEAP1_KELCH,True,19,3.3096637291422852,0,1
HP-013,葛根素,FXR_LBD,True,30,2.6842619097249067,0,0
HP-013,葛根素,KEAP1_KELCH,True,30,2.9565550899653514,0,1
HP-014,二氢杨梅素,FXR_LBD,True,23,2.8304088043955793,0,0
HP-014,二氢杨梅素,KEAP1_KELCH,True,23,2.698086358884756,0,0
HP-015,水飞蓟宾,FXR_LBD,True,28,3.020970208393327,0,0
HP-015,水飞蓟宾,KEAP1_KELCH,True,28,2.736207228994178,0,0
HP-016,姜黄素,FXR_LBD,True,27,2.697396151847187,0,0
HP-016,姜黄素,KEAP1_KELCH,True,27,2.8224496452549865,0,0
HP-017,白藜芦醇,FXR_LBD,True,17,2.730848586062585,0,0
HP-017,白藜芦醇,KEAP1_KELCH,True,17,2.71941537834881,0,0
HP-018,虎杖苷,FXR_LBD,True,30,2.6675408150579436,0,0
HP-018,虎杖苷,KEAP1_KELCH,True,30,2.7372314480145783,0,0
HP-019,红景天苷,FXR_LBD,True,21,2.6986272436185064,0,0
HP-019,红景天苷,KEAP1_KELCH,True,21,2.722381677869583,0,0
HP-020,绿原酸,FXR_LBD,True,21,2.826901130213084,0,0
HP-020,绿原酸,KEAP1_KELCH,True,21,2.7007052782560366,0,0
HP-021,没食子酸,FXR_LBD,True,12,2.702718076307627,0,0
HP-021,没食子酸,KEAP1_KELCH,True,12,2.754564393874284,0,0
HP-022,原儿茶酸,FXR_LBD,True,11,2.70325248543306,0,0
HP-022,原儿茶酸,KEAP1_KELCH,True,11,2.7209825431266563,0,0
HP-023,咖啡酸,FXR_LBD,True,13,3.2095976383341234,0,0
HP-023,咖啡酸,KEAP1_KELCH,True,13,2.7904804245864216,0,0
HP-024,阿魏酸,FXR_LBD,True,14,2.800291056301112,0,0
HP-024,阿魏酸,KEAP1_KELCH,True,14,2.697591703723899,0,0
HP-025,厚朴酚,FXR_LBD,True,17,2.699064652801041,0,0
HP-025,厚朴酚,KEAP1_KELCH,True,17,2.839483227631395,0,0
HP-026,和厚朴酚,FXR_LBD,True,18,2.8128439345260543,0,0
HP-026,和厚朴酚,KEAP1_KELCH,True,18,3.217456293409441,0,0
HP-027,五味子乙素,FXR_LBD,True,25,2.6582268526218735,0,0
HP-027,五味子乙素,KEAP1_KELCH,True,25,2.8078835445936847,0,0
HP-028,牛蒡苷元,FXR_LBD,True,25,3.0664489234291845,0,0
HP-028,牛蒡苷元,KEAP1_KELCH,True,25,2.862875477557482,0,0
HP-029,牛蒡苷,FXR_LBD,True,35,2.746404376635022,0,0
HP-029,牛蒡苷,KEAP1_KELCH,True,35,2.841955840613994,0,0
HP-030,开环异落叶松脂素,FXR_LBD,True,26,2.834259162462036,0,0
HP-030,开环异落叶松脂素,KEAP1_KELCH,True,26,2.810248921359102,0,0
HP-031,大黄素,FXR_LBD,True,20,2.7429839591218914,0,0
HP-031,大黄素,KEAP1_KELCH,True,20,3.0688279521667554,0,1
