compound_id,name_cn,name_en,split,smiles,canonical,formula,MW_RDKit,scaffold_RDKit,unassigned_stereocenters
HP-001,槲皮素,quercetin,train,O=C1C(O)=C(c2cc(O)c(O)cc2)Oc2cc(O)cc(O)c12,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,C15H10O7,302.23800000000006,O=c1cc(-c2ccccc2)oc2ccccc12,0
HP-002,山奈酚,kaempferol,train,O=C1C(O)=C(c2ccc(O)cc2)Oc2cc(O)cc(O)c12,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,C15H10O6,286.23900000000003,O=c1cc(-c2ccccc2)oc2ccccc12,0
HP-003,芦丁,rutin,train,O=C1C(O)=C(c2cc(O)c(O)cc2)Oc2cc(OC3OC(CO)C(O)C(O)C3OC4OC(C)C(O)C(O)C4O)cc(O)c12,CC1OC(OC2C(Oc3cc(O)c4c(=O)c(O)c(-c5ccc(O)c(O)c5)oc4c3)OC(CO)C(O)C2O)C(O)C(O)C1O,C27H30O16,610.5210000000003,O=c1cc(-c2ccccc2)oc2cc(OC3OCCCC3OC3CCCCO3)ccc12,10
HP-004,芹菜素,apigenin,train,O=C1C=C(c2ccc(O)cc2)Oc2cc(O)cc(O)c12,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,C15H10O5,270.24,O=c1cc(-c2ccccc2)oc2ccccc12,0
HP-005,木犀草素,luteolin,train,O=C1C=C(c2cc(O)c(O)cc2)Oc2cc(O)cc(O)c12,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,C15H10O6,286.23900000000003,O=c1cc(-c2ccccc2)oc2ccccc12,0
HP-006,黄芩素,baicalein,train,O=C1C=C(c2ccccc2)Oc2cc(O)c(O)cc12,O=c1cc(-c2ccccc2)oc2cc(O)c(O)cc12,C15H10O4,254.24099999999999,O=c1cc(-c2ccccc2)oc2ccccc12,0
HP-007,黄芩苷,baicalin,val,O=C1C=C(c2ccccc2)Oc2cc(OC3OC(C(=O)O)C(O)C(O)C3O)c(O)cc12,O=C(O)C1OC(Oc2cc3oc(-c4ccccc4)cc(=O)c3cc2O)C(O)C(O)C1O,C21H18O10,430.36500000000007,O=c1cc(-c2ccccc2)oc2cc(OC3CCCCO3)ccc12,5
HP-008,汉黄芩素,wogonin,train,O=C1C=C(c2ccccc2)Oc2cc(O)c(OC)cc12,COc1cc2c(=O)cc(-c3ccccc3)oc2cc1O,C16H12O4,268.268,O=c1cc(-c2ccccc2)oc2ccccc12,0
HP-009,柚皮素,naringenin,test,O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c2C1,O=C1Cc2c(O)cc(O)cc2OC(c2ccc(O)cc2)C1,C16H14O5,286.2830000000001,O=C1Cc2ccccc2OC(c2ccccc2)C1,1
HP-010,橙皮苷,hesperidin,test,O=C1CC(c2ccc(OC)c(O)c2)Oc2cc(OC3OC(CO)C(O)C(O)C3OC4OC(C)C(O)C(O)C4O)cc(O)c2C1,COc1ccc(C2CC(=O)Cc3c(O)cc(OC4OC(CO)C(O)C(O)C4OC4OC(C)C(O)C(O)C4O)cc3O2)cc1O,C29H36O15,624.5920000000002,O=C1Cc2ccc(OC3OCCCC3OC3CCCCO3)cc2OC(c2ccccc2)C1,11
HP-011,染料木素,genistein,train,O=C1C(c2ccc(O)cc2)=COc2cc(O)cc(O)c12,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,C15H10O5,270.24,O=c1c(-c2ccccc2)coc2ccccc12,0
HP-012,大豆苷元,daidzein,train,O=C1C(c2ccc(O)cc2)=COc2cc(O)ccc12,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,C15H10O4,254.24099999999999,O=c1c(-c2ccccc2)coc2ccccc12,0
HP-013,葛根素,puerarin,train,O=C1C(c2ccc(O)cc2)=COc2cc(O)c(C3OC(CO)C(O)C(O)C3O)cc12,O=c1c(-c2ccc(O)cc2)coc2cc(O)c(C3OC(CO)C(O)C(O)C3O)cc12,C21H20O9,416.3820000000001,O=c1c(-c2ccccc2)coc2ccc(C3CCCCO3)cc12,5
HP-014,二氢杨梅素,dihydromyricetin,train,C1=C(C=C(C(=C1O)O)O)[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O,O=C1c2c(O)cc(O)cc2O[C@H](c2cc(O)c(O)c(O)c2)[C@H]1O,C15H12O8,320.253,O=C1CC(c2ccccc2)Oc2ccccc21,0
HP-015,水飞蓟宾,silybin,train,COc1cc(OCC2COc3cc(O)c(O)cc3C(O)C2O)ccc1O,COc1cc(OCC2COc3cc(O)c(O)cc3C(O)C2O)ccc1O,C18H20O8,364.35,c1ccc(OCC2CCc3ccccc3OC2)cc1,3
HP-016,姜黄素,curcumin,train,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,C21H20O6,368.38500000000005,O=C(C=Cc1ccccc1)CC(=O)C=Cc1ccccc1,0
HP-017,白藜芦醇,resveratrol,test,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,C14H12O3,228.247,C(=Cc1ccccc1)c1ccccc1,0
HP-018,虎杖苷,polydatin,test,OC[C@H]1O[C@@H](Oc2cc(/C=C/c2ccc(O)cc2)cc(O)c2)[C@H](O)[C@@H](O)[C@@H]1O,OC[C@H]1O[C@@H](Oc2cc3ccc2=CC=C(O)C=CC=C(O)C=3)[C@H](O)[C@@H](O)[C@@H]1O,C20H22O8,390.3880000000001,C1=CC=CC=c2ccc(cc2OC2CCCCO2)=CC=C1,0
HP-019,红景天苷,salidroside,train,OC[C@H]1O[C@@H](OCCc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,OC[C@H]1O[C@@H](OCCc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,C14H20O7,300.307,c1ccc(CCOC2CCCCO2)cc1,0
HP-020,绿原酸,chlorogenic acid,test,O=C(O)[C@@H]1O[C@@H](O)[C@H](O)[C@H](O)[C@H]1Oc1cc(O)c(O)cc1,O=C(O)[C@@H]1O[C@@H](O)[C@H](O)[C@H](O)[C@H]1Oc1ccc(O)c(O)c1,C12H14O9,302.235,c1ccc(OC2CCCOC2)cc1,0
HP-021,没食子酸,gallic acid,train,O=C(O)c1cc(O)c(O)c(O)c1,O=C(O)c1cc(O)c(O)c(O)c1,C7H6O5,170.11999999999998,c1ccccc1,0
HP-022,原儿茶酸,protocatechuic acid,train,O=C(O)c1cc(O)cc(O)c1,O=C(O)c1cc(O)cc(O)c1,C7H6O4,154.12099999999998,c1ccccc1,0
HP-023,咖啡酸,caffeic acid,train,O=C(O)/C=C/c1ccc(O)c(O)c1,O=C(O)/C=C/c1ccc(O)c(O)c1,C9H8O4,180.159,c1ccccc1,0
HP-024,阿魏酸,ferulic acid,train,COc1cc(/C=C/C(=O)O)ccc1O,COc1cc(/C=C/C(=O)O)ccc1O,C10H10O4,194.186,c1ccccc1,0
HP-025,厚朴酚,magnolol,val,Cc1cccc(O)c1Cc1cccc(O)c1C,Cc1cccc(O)c1Cc1cccc(O)c1C,C15H16O2,228.291,c1ccc(Cc2ccccc2)cc1,0
HP-026,和厚朴酚,honokiol,val,Cc1cccc(O)c1Cc1cc(CC)ccc1O,CCc1ccc(O)c(Cc2c(C)cccc2O)c1,C16H18O2,242.31799999999998,c1ccc(Cc2ccccc2)cc1,0
HP-027,五味子乙素,schisandrin B,train,COc1cc(C)c(C)c(Cc2cc(OC)c(C)c(CO)c2C)c1OC,COc1cc(Cc2c(C)c(C)cc(OC)c2OC)c(C)c(CO)c1C,C21H28O4,344.4510000000001,c1ccc(Cc2ccccc2)cc1,0
HP-028,牛蒡苷元,arctigenin,val,COc1cc(CC2C(=O)OC2c2ccc(O)c(OC)c2)ccc1OC,COc1cc(C2OC(=O)C2Cc2ccc(OC)c(OC)c2)ccc1O,C19H20O6,344.3630000000001,O=C1OC(c2ccccc2)C1Cc1ccccc1,2
HP-029,牛蒡苷,arctiin,val,OC[C@H]1O[C@@H](Oc2cc(CC3C(=O)OC3c3ccc(O)c(OC)c3)ccc2OC)[C@H](O)[C@@H](O)[C@@H]1O,COc1cc(C2OC(=O)C2Cc2ccc(OC)c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c2)ccc1O,C24H28O11,492.4770000000002,O=C1OC(c2ccccc2)C1Cc1cccc(OC2CCCCO2)c1,2
HP-030,开环异落叶松脂素,secoisolariciresinol,train,COC1=C(C=CC(=C1)C[C@@H](CO)[C@@H](CC2=CC(=C(C=C2)O)OC)CO)O,COc1cc(C[C@@H](CO)[C@H](CO)Cc2ccc(O)c(OC)c2)ccc1O,C20H26O6,362.4220000000001,c1ccc(CCCCc2ccccc2)cc1,0
HP-031,大黄素,emodin,test,CC1=CC2=C(C=C1O)C(=O)C3=C(C2=O)C=CC(C)=C3O,Cc1cc2c(cc1O)C(=O)c1c(ccc(C)c1O)C2=O,C16H12O4,268.268,O=C1c2ccccc2C(=O)c2ccccc21,0
