compound_id,name_cn,name_en,category,source_herb,smiles,druglikeness_note,scaffold,n_atoms,MW,logP_est,TPSA_est,nHBD,nHBA,nRot,nAromSystems,nHeavy,label
NV-001,科罗索酸,corosolic acid,三萜类,枇杷叶/熊果,CC1(C)CC2CCC3(C)C(CCC4(C)C3CC=C3C5(C)CCC(O)C(C)(C)C5CCC43C)C2CC1O,熊果叶降糖成分；保肝证据待评价,"CCCCCCCCCCCCCCCCCCCCCCCCCC|0-1,0-25,1-2,2-3,2-23,3-4,4-5,5-6,5-10,6-7,6-23,7-8,8-9,9-10,9-22,10-11,11-12,12-13,13-14,13-22,14-15,14-19,15-16,16-17,17-18,18-19,19-20,20-21,21-22,23-24,24-25",36,553.27,7.79,43.4,2,2,0,0,36,
NV-002,马斯里酸,maslinic acid,三萜类,橄榄叶/山楂,CC1(C)CCC2(C1)C(O)CC3(C2)CCCC4(C3)CCC(C)C5(C4)CCC(O)C(C)(C)C5C(=O)O,齐墩果酸骨架双羟基衍生物；保肝证据待评价,"CCCCCCCCCCCCCCCCCCCCCCCC|0-1,0-4,1-2,2-3,3-4,3-5,3-8,5-6,6-7,7-8,7-9,7-13,9-10,10-11,11-12,12-13,12-14,12-18,14-15,15-16,16-17,17-18,17-19,17-23,19-20,20-21,21-22,22-23",34,525.13,5.87,85.3,3,4,1,0,34,
NV-003,积雪草酸,asiatic acid,三萜类,积雪草,CC1(C)CCC2(C1)C(O)CC3(C2)CCCC4(C3)CCC(O)C5(C4)CCC(O)C(C)(C)C5C(=O)O,积雪草苷元；抗炎与器官保护研究较多,"CCCCCCCCCCCCCCCCCCCCCCCC|0-1,0-4,1-2,2-3,3-4,3-5,3-8,5-6,6-7,7-8,7-9,7-13,9-10,10-11,11-12,12-13,12-14,12-18,14-15,15-16,16-17,17-18,17-19,17-23,19-20,20-21,21-22,22-23",34,525.08,5.18,107.0,4,5,1,0,34,
NV-004,羟基积雪草酸,madecassic acid,三萜类,积雪草,CC1(C)CCC2(C1)C(O)CC3(C2)CC(O)CC4(C3)CCC(O)C5(C4)CCC(O)C(C)(C)C5C(=O)O,积雪草提取物伴生成分；保肝证据待评价,"CCCCCCCCCCCCCCCCCCCCCCCC|0-1,0-4,1-2,2-3,3-4,3-5,3-8,5-6,6-7,7-8,7-9,7-13,9-10,10-11,11-12,12-13,12-14,12-18,14-15,15-16,16-17,17-18,17-19,17-23,19-20,20-21,21-22,22-23",35,541.08,4.76,128.7,5,6,1,0,35,
NV-005,β-乳香酸,boswellic acid,三萜类,乳香,CC1=C(C)C2CCC3(C)C(C2)CCC4(C)C3CC=C1CC4C(=O)O,乳香抗炎成分；5-LOX抑制相关报道,"CCCCCCCCCCCCCCCCC|0-1,0-14,1-2,2-3,2-7,3-4,4-5,5-6,5-11,6-7,6-8,8-9,9-10,10-11,10-16,11-12,12-13,13-14,14-15,15-16",24,360.75,4.55,41.9,1,2,1,0,24,
NV-006,去氢松香酸,dehydroabietic acid,二萜类,松香/络石藤,CC(C)c1ccc2c(c1)CCC1(C)CCC(C(C)C)CC21C(=O)O,松香酸衍生物；保肝证据待评价,"ccccccCCCCCCCC|0-1,0-5,1-2,2-3,3-4,3-13,4-5,4-6,6-7,7-8,8-9,8-13,9-10,10-11,11-12,12-13",24,354.7,4.67,41.9,1,2,3,1,24,
NV-007,五味子甲素,schisandrin A,木脂素类,五味子,COc1cc(CC(C)CCc2cc(OC)c(C)c(OC)c2C)ccc1OC,五味子联苯环辛二烯成分；骨架简化(演示版),"cccCCCCccccccccc|0-1,0-15,1-2,2-3,2-13,3-4,4-5,5-6,6-7,7-8,7-12,8-9,9-10,10-11,11-12,13-14,14-15",27,396.7,4.22,80.8,0,4,4,2,27,
NV-008,戈米辛A,gomisin A,木脂素类,五味子,COc1cc(C)c(OC)c(CC(C)C[C@@H]2COc3cc(OC)c(C)c(OC)c3C2)cc1O,五味子木脂素；骨架简化(演示版),"cccccCCCCCOccccccCcc|0-1,0-19,1-2,2-3,3-4,4-5,4-18,5-6,6-7,7-8,8-9,8-17,9-10,10-11,11-12,11-16,12-13,13-14,14-15,15-16,16-17,18-19",32,472.79,4.19,122.7,1,6,4,2,32,
NV-009,松脂素,pinoresinol,木脂素类,连翘/杜仲,COc1cc2C[C@@H]3COc4cc(OC)ccc4[C@H](O3)Cc2c1,呋喃木脂素；连翘苷元；保肝证据待评价,"cccCCCOccccccCOCcc|0-1,0-17,1-2,2-3,2-16,3-4,4-5,4-14,5-6,6-7,7-8,7-12,8-9,9-10,10-11,11-12,12-13,13-14,13-15,15-16,16-17",22,308.42,2.87,80.8,0,4,2,2,22,
NV-010,落叶松脂素,lariciresinol,木脂素类,连翘/亚麻籽,COc1cc2CC(O)C(CO)c3cc(OC)ccc3C2c1OC,开环木脂素；抗氧化报道,"cccCCCccccccCc|0-1,0-13,1-2,2-3,2-12,3-4,4-5,5-6,6-7,6-11,7-8,8-9,9-10,10-11,11-12,12-13",23,332.48,2.45,104.0,2,5,4,2,23,
NV-011,奥贝胆酸,obeticholic acid,甾体酸类,(阳性参照药)FXR激动剂,CCC(C)C(C)CC(O)C1CCC2(C)C1CCC3C2CCC4(C)C3CCC4C(=O)O,FXR激动剂；用于原发性胆汁性胆管炎；作方法学阳性参照,"CCCCCCCCCCCCCCCC|0-1,0-4,1-2,2-3,3-4,3-8,4-5,5-6,6-7,7-8,7-12,8-9,9-10,10-11,11-12,11-15,12-13,13-14,14-15",30,465.03,5.48,63.6,2,3,6,0,30,
