compound_id,name_cn,target,affinity_kcal_mol,note
HP-001,槲皮素,FXR_LBD,-8.863,cached
HP-001,槲皮素,KEAP1_KELCH,-8.412,cached
HP-002,山奈酚,FXR_LBD,-8.155,cached
HP-002,山奈酚,KEAP1_KELCH,-7.745,cached
HP-003,芦丁,FXR_LBD,-7.474,cached
HP-003,芦丁,KEAP1_KELCH,-8.658,cached
HP-004,芹菜素,FXR_LBD,-9.034,cached
HP-004,芹菜素,KEAP1_KELCH,-8.493,cached
HP-005,木犀草素,FXR_LBD,-9.138,cached
HP-005,木犀草素,KEAP1_KELCH,-8.522,cached
HP-006,黄芩素,FXR_LBD,-8.696,cached
HP-006,黄芩素,KEAP1_KELCH,-8.096,cached
HP-007,黄芩苷,FXR_LBD,-8.877,cached
HP-007,黄芩苷,KEAP1_KELCH,-10.36,cached
HP-008,汉黄芩素,FXR_LBD,-8.82,cached
HP-008,汉黄芩素,KEAP1_KELCH,-8.191,cached
HP-009,柚皮素,FXR_LBD,-6.383,cached
HP-009,柚皮素,KEAP1_KELCH,-6.592,cached
HP-010,橙皮苷,FXR_LBD,-6.22,cached
HP-010,橙皮苷,KEAP1_KELCH,-7.254,cached
HP-011,染料木素,FXR_LBD,-8.856,cached
HP-011,染料木素,KEAP1_KELCH,-8.402,cached
HP-012,大豆苷元,FXR_LBD,-8.784,cached
HP-012,大豆苷元,KEAP1_KELCH,-7.935,cached
HP-013,葛根素,FXR_LBD,-8.675,cached
HP-013,葛根素,KEAP1_KELCH,-9.672,cached
HP-014,二氢杨梅素,FXR_LBD,-8.469,cached
HP-014,二氢杨梅素,KEAP1_KELCH,-8.695,cached
HP-015,水飞蓟宾,FXR_LBD,-6.671,cached
HP-015,水飞蓟宾,KEAP1_KELCH,-6.571,cached
HP-016,姜黄素,FXR_LBD,-9.329,cached
HP-016,姜黄素,KEAP1_KELCH,-8.283,cached
HP-017,白藜芦醇,FXR_LBD,-8.513,cached
HP-017,白藜芦醇,KEAP1_KELCH,-7.768,cached
HP-018,虎杖苷,FXR_LBD,-5.428,cached
HP-018,虎杖苷,KEAP1_KELCH,-7.186,cached
HP-019,红景天苷,FXR_LBD,-7.916,cached
HP-019,红景天苷,KEAP1_KELCH,-7.506,cached
HP-020,绿原酸,FXR_LBD,-6.918,cached
HP-020,绿原酸,KEAP1_KELCH,-8.238,cached
HP-021,没食子酸,FXR_LBD,-6.103,cached
HP-021,没食子酸,KEAP1_KELCH,-6.263,cached
HP-022,原儿茶酸,FXR_LBD,-6.274,cached
HP-022,原儿茶酸,KEAP1_KELCH,-5.958,cached
HP-023,咖啡酸,FXR_LBD,-6.561,cached
HP-023,咖啡酸,KEAP1_KELCH,-6.183,cached
HP-024,阿魏酸,FXR_LBD,-6.747,cached
HP-024,阿魏酸,KEAP1_KELCH,-5.915,cached
HP-025,厚朴酚,FXR_LBD,-7.557,cached
HP-025,厚朴酚,KEAP1_KELCH,-7.115,cached
HP-026,和厚朴酚,FXR_LBD,-7.475,cached
HP-026,和厚朴酚,KEAP1_KELCH,-7.262,cached
HP-027,五味子乙素,FXR_LBD,-5.614,cached
HP-027,五味子乙素,KEAP1_KELCH,-7.994,cached
HP-028,牛蒡苷元,FXR_LBD,-7.968,cached
HP-028,牛蒡苷元,KEAP1_KELCH,-7.912,cached
HP-029,牛蒡苷,FXR_LBD,-8.894,cached
HP-029,牛蒡苷,KEAP1_KELCH,-10.19,cached
HP-030,开环异落叶松脂素,FXR_LBD,-7.915,cached
HP-030,开环异落叶松脂素,KEAP1_KELCH,-7.571,cached
HP-031,大黄素,FXR_LBD,-8.391,cached
HP-031,大黄素,KEAP1_KELCH,-8.957,cached
HP-032,大黄酸,FXR_LBD,-7.773,cached
HP-032,大黄酸,KEAP1_KELCH,-8.82,cached
HP-033,芦荟大黄素,FXR_LBD,-8.26,cached
HP-033,芦荟大黄素,KEAP1_KELCH,-7.997,cached
HP-034,大黄素甲醚,FXR_LBD,-7.903,cached
HP-034,大黄素甲醚,KEAP1_KELCH,-7.985,cached
HP-035,栀子苷,FXR_LBD,-6.785,cached
HP-035,栀子苷,KEAP1_KELCH,-7.411,cached
HP-036,龙胆苦苷,FXR_LBD,-7.835,cached
HP-036,龙胆苦苷,KEAP1_KELCH,-8.39,cached
HP-037,桃叶珊瑚苷,FXR_LBD,-6.781,cached
HP-037,桃叶珊瑚苷,KEAP1_KELCH,-7.073,cached
HP-038,甘草次酸,FXR_LBD,-6.344,cached
HP-038,甘草次酸,KEAP1_KELCH,-7.992,cached
