rank,compound_id,name_cn,category,source_herb,scaffold,pred_mean,pred_var,confidence,dock_avg_kcal,lipinski_violations,pains_alert,ad_warning,final_score
1,HP-007,黄芩苷,黄酮苷类,黄芩,O=c1cc(-c2ccccc2)oc2cc(OC3CCCCO3)ccc12,0.9657,0.0008,0.887,-9.62,0,,,0.9601
2,HP-005,木犀草素,黄酮类,金银花,O=c1cc(-c2ccccc2)oc2ccccc12,0.9681,0.0011,0.867,-8.83,0,catechol_A(92),,0.9325
3,HP-001,槲皮素,黄酮类,槐米/银杏叶,O=c1cc(-c2ccccc2)oc2ccccc12,0.9844,0.0003,0.93,-8.64,0,catechol_A(92),,0.9292
4,HP-004,芹菜素,黄酮类,菊花,O=c1cc(-c2ccccc2)oc2ccccc12,0.951,0.0009,0.878,-8.76,0,,,0.9156
5,HP-032,大黄酸,蒽醌类,大黄,O=C1c2ccccc2C(=O)c2ccccc21,0.9953,0.0,0.981,-8.3,0,quinone_A(370),,0.9032
6,HP-011,染料木素,异黄酮类,槐角/葛根,O=c1c(-c2ccccc2)coc2ccccc12,0.9436,0.0013,0.854,-8.63,0,,,0.8894
7,HP-031,大黄素,蒽醌类,大黄/何首乌,O=C1c2ccccc2C(=O)c2ccccc21,0.9242,0.0019,0.828,-8.67,0,quinone_A(370),,0.8878
8,HP-029,牛蒡苷,木脂素苷类,牛蒡子,O=C1OC(c2ccccc2)C1Cc1cccc(OC2CCCCO2)c1,0.9386,0.0014,0.853,-9.54,1,,,0.8853
9,HP-013,葛根素,异黄酮苷类,葛根,O=c1c(-c2ccccc2)coc2ccc(C3CCCCO3)cc12,0.9576,0.0011,0.867,-9.17,1,,,0.8841
10,HP-014,二氢杨梅素,黄酮醇类,显齿蛇葡萄(藤茶),O=C1CC(c2ccccc2)Oc2ccccc21,0.9916,0.0001,0.958,-8.58,1,catechol_A(92),,0.8764
11,HP-048,丹参酮IIA,二萜醌类,丹参,O=C1C=Cc2c1oc1ccccc1c2=O,0.9301,0.0021,0.817,-8.4,0,,,0.8578
12,HP-016,姜黄素,多酚类,姜黄,O=C(C=Cc1ccccc1)CC(=O)C=Cc1ccccc1,0.8649,0.0083,0.635,-8.81,0,,,0.8381
13,HP-008,汉黄芩素,黄酮类,黄芩,O=c1cc(-c2ccccc2)oc2ccccc12,0.8546,0.0025,0.801,-8.51,0,,,0.83
14,HP-033,芦荟大黄素,蒽醌类,大黄/芦荟,O=C1c2ccccc2C(=O)c2ccccc21,0.939,0.0014,0.848,-8.13,0,quinone_A(370),,0.8258
15,HP-006,黄芩素,黄酮类,黄芩,O=c1cc(-c2ccccc2)oc2ccccc12,0.8953,0.0043,0.736,-8.4,0,catechol_A(92),,0.8213
16,NV-009,松脂素,木脂素类,连翘/杜仲,c1ccc(C2OCC3C(c4ccccc4)OCC23)cc1,0.9045,0.0029,0.783,-8.29,0,,,0.8164
17,HP-036,龙胆苦苷,环烯醚萜苷类,龙胆/秦艽,O=c1occcc1OCC1CCCCO1,0.9373,0.0017,0.835,-8.11,0,,,0.8163
18,HP-034,大黄素甲醚,蒽醌类,决明子/大黄,O=C1c2ccccc2C(=O)c2ccccc21,0.9581,0.001,0.873,-7.94,0,quinone_A(370),,0.8089
19,HP-012,大豆苷元,异黄酮类,葛根,O=c1c(-c2ccccc2)coc2ccccc12,0.864,0.004,0.749,-8.36,0,,,0.8054
20,HP-002,山奈酚,黄酮类,银杏叶/桑叶,O=c1cc(-c2ccccc2)oc2ccccc12,0.9466,0.0031,0.776,-7.95,0,,,0.7895
21,HP-047,东莨菪素,香豆素类,东莨菪/桑白皮,O=c1ccc2ccccc2o1,0.9622,0.0008,0.886,-7.02,0,,,0.7291
22,HP-046,滨蒿内酯,香豆素类,茵陈,O=c1ccc2ccccc2o1,0.9216,0.0026,0.794,-7.0,0,,,0.6867
23,HP-028,牛蒡苷元,木脂素类,牛蒡子,O=C1OC(c2ccccc2)C1Cc1ccccc1,0.797,0.011,0.58,-7.94,0,,,0.6825
24,HP-020,绿原酸,有机酸类,金银花/杜仲,c1ccc(OC2CCCOC2)cc1,0.9584,0.0065,0.677,-7.58,1,catechol_A(92),,0.6805
25,HP-037,桃叶珊瑚苷,环烯醚萜苷类,车前草,O=C1OC=CCC1OC1CCCCO1,0.979,0.0007,0.898,-6.93,1,,,0.6767
26,HP-035,栀子苷,环烯醚萜苷类,栀子,C1=COC(OC2CCCCO2)=CC1,0.9805,0.0004,0.92,-7.1,0,,域外,0.6754
27,HP-021,没食子酸,有机酸类,五倍子/山茱萸,c1ccccc1,0.9858,0.0002,0.939,-6.18,0,catechol_A(92),,0.6722
28,HP-009,柚皮素,黄烷酮类,枳实/骨碎补,O=C1Cc2ccccc2OC(c2ccccc2)C1,0.9387,0.0014,0.851,-6.49,0,,,0.6633
29,HP-017,白藜芦醇,茋类,虎杖/葡萄,C(=Cc1ccccc1)c1ccccc1,0.6027,0.0111,0.578,-8.14,0,,,0.6554
30,HP-015,水飞蓟宾,黄酮木脂素类,水飞蓟,c1ccc(OCC2CCc3ccccc3OC2)cc1,0.9453,0.0034,0.768,-6.62,0,catechol_A(92),,0.6545
31,HP-023,咖啡酸,有机酸类,金银花,c1ccccc1,0.9383,0.0024,0.805,-6.37,0,catechol_A(92),,0.6415
32,HP-045,伞形花内酯,香豆素类,茵陈,O=c1ccc2ccccc2o1,0.8821,0.0059,0.693,-6.84,0,,,0.6387
33,HP-003,芦丁,黄酮苷类,槐米,O=c1cc(-c2ccccc2)oc2cc(OC3OCCCC3OC3CCCCO3)ccc12,0.9748,0.0004,0.921,-8.07,3,catechol_A(92),域外,0.6251
34,HP-022,原儿茶酸,有机酸类,丹参,c1ccccc1,0.9639,0.0028,0.788,-6.12,0,,,0.624
35,HP-019,红景天苷,苯乙醇苷类,红景天,c1ccc(CCOC2CCCCO2)cc1,0.7011,0.0164,0.488,-7.71,0,,,0.6098
36,HP-018,虎杖苷,茋苷类,虎杖,C1=CC=CC=c2ccc(cc2OC2CCCCO2)=CC=C1,0.9636,0.0011,0.865,-6.31,1,,,0.6027
37,HP-024,阿魏酸,有机酸类,当归/川芎,c1ccccc1,0.8807,0.0087,0.628,-6.33,0,,,0.5769
38,NV-008,戈米辛A,木脂素类,五味子,c1ccc2c(c1)CCCCc1cc3c(cc1-2)OCO3,0.8689,0.0059,0.693,-5.95,0,,,0.5491
39,NV-010,落叶松脂素,木脂素类,连翘/亚麻籽,C1=CC2C(=C1)CCCc1ccccc12,0.88,0.0119,0.563,-6.11,0,,,0.5397
40,HP-030,开环异落叶松脂素,木脂素类,五味子/亚麻籽,c1ccc(CCCCc2ccccc2)cc1,0.3827,0.0107,0.586,-7.74,0,,,0.5176
41,NV-001,科罗索酸,三萜类,枇杷叶/熊果,C1=C2C3CCCCC3CCC2C2CCC3C4CCCCC4CCC3C2C1,0.1444,0.0116,0.57,-9.24,1,,域外,0.485
42,HP-010,橙皮苷,黄酮苷类,陈皮,O=C1Cc2ccc(OC3OCCCC3OC3CCCCO3)cc2OC(c2ccccc2)C1,0.9662,0.0014,0.853,-6.74,3,,域外,0.4835
43,HP-042,穿心莲内酯,二萜内酯类,穿心莲,O=C1C=C2CCCC2C=CC1,0.7284,0.0166,0.485,-5.9,0,,,0.4493
44,NV-006,去氢松香酸,二萜类,松香/络石藤,c1ccc2c(c1)CCC1CCCCC21,0.0759,0.0018,0.831,-8.19,1,,,0.4287
45,NV-012,灵芝酸A,三萜类,灵芝,O=C1CC2(CCCC3(CCCCC3)C2)CC2(CCC3(CCCC3)C2)C1,0.3945,0.0222,0.404,-7.78,1,,域外,0.4156
46,NV-007,五味子甲素,木脂素类,五味子,c1ccc(CCCCc2ccccc2)cc1,0.1135,0.0024,0.803,-8.05,1,,,0.4133
47,NV-003,积雪草酸,三萜类,积雪草,C1CCC2(CC1)CCCC1(CCCC3(CCC4(CCCC4)C3)C1)C2,0.4179,0.0215,0.413,-7.35,1,,域外,0.3904
48,HP-026,和厚朴酚,木脂素类,厚朴,c1ccc(Cc2ccccc2)cc1,0.0765,0.0019,0.824,-7.37,0,,,0.3883
49,HP-039,甘草酸,三萜皂苷类,甘草,O=C1CC2(CCCC3(CCC(OC4OCCCC4OC4CCCCO4)CC3)C2)CC2(CCC3(CCCC3)C2)C1,0.8581,0.0094,0.613,-6.41,3,,域外,0.385
50,HP-025,厚朴酚,木脂素类,厚朴,c1ccc(Cc2ccccc2)cc1,0.0632,0.0008,0.886,-7.34,0,,,0.3717
51,HP-027,五味子乙素,木脂素类,五味子,c1ccc(Cc2ccccc2)cc1,0.1893,0.0059,0.693,-6.8,0,,,0.3687
52,HP-038,甘草次酸,三萜类,甘草(体内代谢物),O=C1CC2(CCCC3(CCCCC3)C2)CC2(CCC3(CCCC3)C2)C1,0.3118,0.0147,0.515,-7.17,1,,域外,0.3501
53,HP-041,熊果酸,三萜类,山楂/陆英,C1CCC2(CC1)CCCC1(CCCC3(CCC4(CCCC4)C3)C1)C2,0.104,0.0039,0.75,-7.83,1,,域外,0.3456
54,NV-004,羟基积雪草酸,三萜类,积雪草,C1CCC2(CC1)CCCC1(CCCC3(CCC4(CCCC4)C3)C1)C2,0.5602,0.0333,0.271,-5.94,0,,域外,0.335
55,NV-011,奥贝胆酸,甾体酸类,(阳性参照药)FXR激动剂,C1CC2CCC3C4CCCC4CCC3C2C1,0.0875,0.005,0.718,-7.41,1,,域外,0.3121
56,HP-040,齐墩果酸,三萜类,女贞子,C1CCC2(CC1)CCCC1(CCCC3(CCC4(CCCC4)C3)C1)C2,0.1149,0.0085,0.632,-7.22,1,,域外,0.2979
57,HP-044,苦参碱,生物碱类,苦参,O=C1N2CCCCC2CC2CCCN12,0.0003,0.0,0.998,-6.79,0,,,0.2906
58,NV-005,β-乳香酸,三萜类,乳香,C1=CC2CCC3C(CCC4CCC1=CCC43)C2,0.4263,0.0285,0.325,-5.22,1,,域外,0.2494
59,NV-002,马斯里酸,三萜类,橄榄叶/山楂,C1CCC2(CC1)CCCC1(CCCC3(CCC4(CCCC4)C3)C1)C2,0.2046,0.0082,0.637,-6.0,1,,域外,0.2245
