compound_id,name_cn,lipinski_violations,pains_alert
HP-001,槲皮素,0,catechol_A(92)
HP-002,山奈酚,0,
HP-003,芦丁,3,catechol_A(92)
HP-004,芹菜素,0,
HP-005,木犀草素,0,catechol_A(92)
HP-006,黄芩素,0,catechol_A(92)
HP-007,黄芩苷,0,
HP-008,汉黄芩素,0,
HP-009,柚皮素,0,
HP-010,橙皮苷,3,
HP-011,染料木素,0,
HP-012,大豆苷元,0,
HP-013,葛根素,1,
HP-014,二氢杨梅素,1,catechol_A(92)
HP-015,水飞蓟宾,0,catechol_A(92)
HP-016,姜黄素,0,
HP-017,白藜芦醇,0,
HP-018,虎杖苷,1,
HP-019,红景天苷,0,
HP-020,绿原酸,1,catechol_A(92)
HP-021,没食子酸,0,catechol_A(92)
HP-022,原儿茶酸,0,
HP-023,咖啡酸,0,catechol_A(92)
HP-024,阿魏酸,0,
HP-025,厚朴酚,0,
HP-026,和厚朴酚,0,
HP-027,五味子乙素,0,
HP-028,牛蒡苷元,0,
HP-029,牛蒡苷,1,
HP-030,开环异落叶松脂素,0,
HP-031,大黄素,0,quinone_A(370)
HP-032,大黄酸,0,quinone_A(370)
HP-033,芦荟大黄素,0,quinone_A(370)
HP-034,大黄素甲醚,0,quinone_A(370)
HP-035,栀子苷,0,
HP-036,龙胆苦苷,0,
HP-037,桃叶珊瑚苷,1,
HP-038,甘草次酸,1,
HP-039,甘草酸,3,
HP-040,齐墩果酸,1,
HP-041,熊果酸,1,
HP-042,穿心莲内酯,0,
HP-043,小檗碱,0,
HP-044,苦参碱,0,
HP-045,伞形花内酯,0,
HP-046,滨蒿内酯,0,
HP-047,东莨菪素,0,
HP-048,丹参酮IIA,0,
NV-001,科罗索酸,1,
NV-002,马斯里酸,1,
NV-003,积雪草酸,1,
NV-004,羟基积雪草酸,0,
NV-005,β-乳香酸,1,
NV-006,去氢松香酸,1,
NV-007,五味子甲素,1,
NV-008,戈米辛A,0,
NV-009,松脂素,0,
NV-010,落叶松脂素,0,
NV-011,奥贝胆酸,1,
NV-012,灵芝酸A,1,
