compound_id,name_cn,split,leverage,h_star,in_domain
HP-001,槲皮素,train,0.074,0.362,1
HP-002,山奈酚,train,0.053,0.362,1
HP-003,芦丁,train,0.433,0.362,0
HP-004,芹菜素,train,0.043,0.362,1
HP-005,木犀草素,train,0.051,0.362,1
HP-006,黄芩素,train,0.049,0.362,1
HP-008,汉黄芩素,train,0.06,0.362,1
HP-011,染料木素,train,0.043,0.362,1
HP-012,大豆苷元,train,0.049,0.362,1
HP-013,葛根素,train,0.099,0.362,1
HP-014,二氢杨梅素,train,0.104,0.362,1
HP-015,水飞蓟宾,train,0.053,0.362,1
HP-016,姜黄素,train,0.074,0.362,1
HP-019,红景天苷,train,0.059,0.362,1
HP-021,没食子酸,train,0.086,0.362,1
HP-022,原儿茶酸,train,0.058,0.362,1
HP-023,咖啡酸,train,0.039,0.362,1
HP-024,阿魏酸,train,0.036,0.362,1
HP-027,五味子乙素,train,0.134,0.362,1
HP-030,开环异落叶松脂素,train,0.074,0.362,1
HP-032,大黄酸,train,0.048,0.362,1
HP-033,芦荟大黄素,train,0.072,0.362,1
HP-034,大黄素甲醚,train,0.086,0.362,1
HP-036,龙胆苦苷,train,0.285,0.362,1
HP-042,穿心莲内酯,train,0.173,0.362,1
HP-045,伞形花内酯,train,0.041,0.362,1
HP-046,滨蒿内酯,train,0.153,0.362,1
HP-047,东莨菪素,train,0.064,0.362,1
DC-001,对乙酰氨基酚,train,0.033,0.362,1
DC-002,阿司匹林,train,0.108,0.362,1
DC-003,布洛芬,train,0.042,0.362,1
DC-004,双氯芬酸,train,0.161,0.362,1
DC-005,丙戊酸钠,train,0.122,0.362,1
DC-006,二甲双胍,train,0.376,0.362,0
DC-008,奥美拉唑,train,0.289,0.362,1
DC-010,茶碱,train,0.273,0.362,1
DC-011,薄荷脑,train,0.175,0.362,1
DC-012,樟脑,train,0.185,0.362,1
DC-013,柠檬烯,train,0.171,0.362,1
DC-014,苯海拉明,train,0.123,0.362,1
DC-016,愈创甘油醚,train,0.09,0.362,1
DC-017,阿替洛尔,train,0.234,0.362,1
DC-018,普萘洛尔,train,0.188,0.362,1
DC-019,呋塞米,train,0.165,0.362,1
DC-022,甘油,train,0.123,0.362,1
DC-023,尿素,train,0.136,0.362,1
DC-025,水杨酰胺,train,0.04,0.362,1
DC-026,肉桂酸,train,0.032,0.362,1
DC-027,香草醛,train,0.046,0.362,1
DC-028,丁香酚,train,0.026,0.362,1
DC-029,香豆素,train,0.069,0.362,1
DC-030,麝香草酚,train,0.11,0.362,1
DC-031,氯霉素,train,0.609,0.362,0
DC-034,吡嗪酰胺,train,0.132,0.362,1
DC-035,苯佐卡因,train,0.025,0.362,1
DC-036,利多卡因,train,0.113,0.362,1
DC-039,甲苯磺丁脲,train,0.165,0.362,1
DC-040,苯甲酸,train,0.043,0.362,1
HP-007,黄芩苷,val,0.144,0.362,1
HP-025,厚朴酚,val,0.189,0.362,1
HP-026,和厚朴酚,val,0.18,0.362,1
HP-028,牛蒡苷元,val,0.156,0.362,1
HP-029,牛蒡苷,val,0.214,0.362,1
HP-039,甘草酸,val,2.165,0.362,0
HP-043,小檗碱,val,0.497,0.362,0
HP-048,丹参酮IIA,val,0.132,0.362,1
DC-007,华法林,val,0.097,0.362,1
DC-009,咖啡因,val,0.37,0.362,0
DC-021,葡萄糖,val,0.156,0.362,1
DC-037,酮洛芬,val,0.063,0.362,1
DC-038,萘普生,val,0.09,0.362,1
HP-009,柚皮素,test,0.046,0.362,1
HP-010,橙皮苷,test,0.506,0.362,0
HP-017,白藜芦醇,test,0.155,0.362,1
HP-018,虎杖苷,test,0.222,0.362,1
HP-020,绿原酸,test,0.12,0.362,1
HP-031,大黄素,test,0.345,0.362,1
HP-035,栀子苷,test,0.421,0.362,0
HP-037,桃叶珊瑚苷,test,0.313,0.362,1
HP-038,甘草次酸,test,1.303,0.362,0
HP-040,齐墩果酸,test,1.425,0.362,0
HP-041,熊果酸,test,1.425,0.362,0
HP-044,苦参碱,test,0.265,0.362,1
DC-015,氯苯那敏,test,0.223,0.362,1
DC-020,别嘌醇,test,0.224,0.362,1
DC-024,烟酰胺,test,0.064,0.362,1
DC-032,甲氨蝶呤,test,1.268,0.362,0
DC-033,异烟肼,test,0.126,0.362,1
NV-001,科罗索酸,screening_pool,2.192,0.362,0
NV-002,马斯里酸,screening_pool,1.369,0.362,0
NV-003,积雪草酸,screening_pool,1.217,0.362,0
NV-004,羟基积雪草酸,screening_pool,1.192,0.362,0
NV-005,β-乳香酸,screening_pool,0.675,0.362,0
NV-006,去氢松香酸,screening_pool,0.319,0.362,1
NV-007,五味子甲素,screening_pool,0.223,0.362,1
NV-008,戈米辛A,screening_pool,0.281,0.362,1
NV-009,松脂素,screening_pool,0.127,0.362,1
NV-010,落叶松脂素,screening_pool,0.059,0.362,1
NV-011,奥贝胆酸,screening_pool,0.829,0.362,0
NV-012,灵芝酸A,screening_pool,1.09,0.362,0
