compound_id,name_cn,target,score_kcal,mode
HP-001,槲皮素,FXR_LBD,-5.88,mock_local
HP-001,槲皮素,KEAP1_KELCH,-6.86,mock_local
HP-002,山奈酚,FXR_LBD,-6.0,mock_local
HP-002,山奈酚,KEAP1_KELCH,-6.5,mock_local
HP-003,芦丁,FXR_LBD,-3.35,mock_local
HP-003,芦丁,KEAP1_KELCH,-9.41,mock_local
HP-004,芹菜素,FXR_LBD,-6.09,mock_local
HP-004,芹菜素,KEAP1_KELCH,-6.18,mock_local
HP-005,木犀草素,FXR_LBD,-5.98,mock_local
HP-005,木犀草素,KEAP1_KELCH,-6.87,mock_local
HP-006,黄芩素,FXR_LBD,-6.33,mock_local
HP-006,黄芩素,KEAP1_KELCH,-5.99,mock_local
HP-007,黄芩苷,FXR_LBD,-5.05,mock_local
HP-007,黄芩苷,KEAP1_KELCH,-8.66,mock_local
HP-008,汉黄芩素,FXR_LBD,-6.66,mock_local
HP-008,汉黄芩素,KEAP1_KELCH,-5.63,mock_local
HP-009,柚皮素,FXR_LBD,-6.57,mock_local
HP-009,柚皮素,KEAP1_KELCH,-6.52,mock_local
HP-010,橙皮苷,FXR_LBD,-3.64,mock_local
HP-010,橙皮苷,KEAP1_KELCH,-8.47,mock_local
HP-011,染料木素,FXR_LBD,-5.76,mock_local
HP-011,染料木素,KEAP1_KELCH,-6.93,mock_local
HP-012,大豆苷元,FXR_LBD,-6.52,mock_local
HP-012,大豆苷元,KEAP1_KELCH,-6.14,mock_local
HP-013,葛根素,FXR_LBD,-6.59,mock_local
HP-013,葛根素,KEAP1_KELCH,-7.46,mock_local
HP-014,二氢杨梅素,FXR_LBD,-5.89,mock_local
HP-014,二氢杨梅素,KEAP1_KELCH,-8.4,mock_local
HP-015,水飞蓟宾,FXR_LBD,-5.93,mock_local
HP-015,水飞蓟宾,KEAP1_KELCH,-6.86,mock_local
HP-016,姜黄素,FXR_LBD,-7.2,mock_local
HP-016,姜黄素,KEAP1_KELCH,-6.67,mock_local
HP-017,白藜芦醇,FXR_LBD,-7.11,mock_local
HP-017,白藜芦醇,KEAP1_KELCH,-5.87,mock_local
HP-018,虎杖苷,FXR_LBD,-4.87,mock_local
HP-018,虎杖苷,KEAP1_KELCH,-7.33,mock_local
HP-019,红景天苷,FXR_LBD,-3.62,mock_local
HP-019,红景天苷,KEAP1_KELCH,-6.56,mock_local
HP-020,绿原酸,FXR_LBD,-3.49,mock_local
HP-020,绿原酸,KEAP1_KELCH,-7.1,mock_local
HP-021,没食子酸,FXR_LBD,-3.63,mock_local
HP-021,没食子酸,KEAP1_KELCH,-6.29,mock_local
HP-022,原儿茶酸,FXR_LBD,-4.43,mock_local
HP-022,原儿茶酸,KEAP1_KELCH,-5.13,mock_local
HP-023,咖啡酸,FXR_LBD,-4.41,mock_local
HP-023,咖啡酸,KEAP1_KELCH,-5.51,mock_local
HP-024,阿魏酸,FXR_LBD,-4.45,mock_local
HP-024,阿魏酸,KEAP1_KELCH,-5.95,mock_local
HP-025,厚朴酚,FXR_LBD,-7.66,mock_local
HP-025,厚朴酚,KEAP1_KELCH,-5.31,mock_local
HP-026,和厚朴酚,FXR_LBD,-8.03,mock_local
HP-026,和厚朴酚,KEAP1_KELCH,-5.34,mock_local
HP-027,五味子乙素,FXR_LBD,-7.92,mock_local
HP-027,五味子乙素,KEAP1_KELCH,-5.12,mock_local
HP-028,牛蒡苷元,FXR_LBD,-6.79,mock_local
HP-028,牛蒡苷元,KEAP1_KELCH,-6.15,mock_local
HP-029,牛蒡苷,FXR_LBD,-5.81,mock_local
HP-029,牛蒡苷,KEAP1_KELCH,-7.31,mock_local
HP-030,开环异落叶松脂素,FXR_LBD,-6.91,mock_local
HP-030,开环异落叶松脂素,KEAP1_KELCH,-6.15,mock_local
HP-031,大黄素,FXR_LBD,-4.91,mock_local
HP-031,大黄素,KEAP1_KELCH,-4.07,mock_local
HP-032,大黄酸,FXR_LBD,-5.95,mock_local
HP-032,大黄酸,KEAP1_KELCH,-6.2,mock_local
HP-033,芦荟大黄素,FXR_LBD,-5.75,mock_local
HP-033,芦荟大黄素,KEAP1_KELCH,-4.89,mock_local
HP-034,大黄素甲醚,FXR_LBD,-7.0,mock_local
HP-034,大黄素甲醚,KEAP1_KELCH,-5.71,mock_local
HP-035,栀子苷,FXR_LBD,-1.52,mock_local
HP-035,栀子苷,KEAP1_KELCH,-6.99,mock_local
HP-036,龙胆苦苷,FXR_LBD,-1.4,mock_local
HP-036,龙胆苦苷,KEAP1_KELCH,-6.34,mock_local
HP-037,桃叶珊瑚苷,FXR_LBD,-1.65,mock_local
HP-037,桃叶珊瑚苷,KEAP1_KELCH,-6.61,mock_local
HP-038,甘草次酸,FXR_LBD,-7.12,mock_local
HP-038,甘草次酸,KEAP1_KELCH,-4.65,mock_local
HP-039,甘草酸,FXR_LBD,-1.6,mock_local
HP-039,甘草酸,KEAP1_KELCH,-5.33,mock_local
HP-040,齐墩果酸,FXR_LBD,-8.06,mock_local
HP-040,齐墩果酸,KEAP1_KELCH,-4.79,mock_local
HP-041,熊果酸,FXR_LBD,-7.49,mock_local
HP-041,熊果酸,KEAP1_KELCH,-4.01,mock_local
HP-042,穿心莲内酯,FXR_LBD,-5.47,mock_local
HP-042,穿心莲内酯,KEAP1_KELCH,-5.18,mock_local
HP-043,小檗碱,FXR_LBD,-7.28,mock_local
HP-043,小檗碱,KEAP1_KELCH,-4.91,mock_local
HP-044,苦参碱,FXR_LBD,-4.15,mock_local
HP-044,苦参碱,KEAP1_KELCH,-4.07,mock_local
HP-045,伞形花内酯,FXR_LBD,-4.58,mock_local
HP-045,伞形花内酯,KEAP1_KELCH,-5.0,mock_local
HP-046,滨蒿内酯,FXR_LBD,-5.25,mock_local
HP-046,滨蒿内酯,KEAP1_KELCH,-4.89,mock_local
HP-047,东莨菪素,FXR_LBD,-4.69,mock_local
HP-047,东莨菪素,KEAP1_KELCH,-4.93,mock_local
HP-048,丹参酮IIA,FXR_LBD,-5.83,mock_local
HP-048,丹参酮IIA,KEAP1_KELCH,-4.56,mock_local
DC-001,对乙酰氨基酚,FXR_LBD,-5.39,mock_local
DC-001,对乙酰氨基酚,KEAP1_KELCH,-4.75,mock_local
DC-002,阿司匹林,FXR_LBD,-5.08,mock_local
DC-002,阿司匹林,KEAP1_KELCH,-5.44,mock_local
DC-003,布洛芬,FXR_LBD,-5.83,mock_local
DC-003,布洛芬,KEAP1_KELCH,-4.14,mock_local
DC-004,双氯芬酸,FXR_LBD,-8.02,mock_local
DC-004,双氯芬酸,KEAP1_KELCH,-5.54,mock_local
DC-005,丙戊酸钠,FXR_LBD,-4.12,mock_local
DC-005,丙戊酸钠,KEAP1_KELCH,-3.35,mock_local
DC-006,二甲双胍,FXR_LBD,-2.45,mock_local
DC-006,二甲双胍,KEAP1_KELCH,-5.41,mock_local
DC-007,华法林,FXR_LBD,-8.0,mock_local
DC-007,华法林,KEAP1_KELCH,-5.48,mock_local
DC-008,奥美拉唑,FXR_LBD,-6.69,mock_local
DC-008,奥美拉唑,KEAP1_KELCH,-6.03,mock_local
DC-009,咖啡因,FXR_LBD,-3.89,mock_local
DC-009,咖啡因,KEAP1_KELCH,-5.8,mock_local
DC-010,茶碱,FXR_LBD,-3.91,mock_local
DC-010,茶碱,KEAP1_KELCH,-5.39,mock_local
DC-011,薄荷脑,FXR_LBD,-4.74,mock_local
DC-011,薄荷脑,KEAP1_KELCH,-3.23,mock_local
DC-012,樟脑,FXR_LBD,-4.91,mock_local
DC-012,樟脑,KEAP1_KELCH,-4.06,mock_local
DC-013,柠檬烯,FXR_LBD,-5.63,mock_local
DC-013,柠檬烯,KEAP1_KELCH,-3.41,mock_local
DC-014,苯海拉明,FXR_LBD,-8.08,mock_local
DC-014,苯海拉明,KEAP1_KELCH,-5.19,mock_local
DC-015,氯苯那敏,FXR_LBD,-8.84,mock_local
DC-015,氯苯那敏,KEAP1_KELCH,-4.91,mock_local
DC-016,愈创甘油醚,FXR_LBD,-4.65,mock_local
DC-016,愈创甘油醚,KEAP1_KELCH,-5.55,mock_local
DC-017,阿替洛尔,FXR_LBD,-4.71,mock_local
DC-017,阿替洛尔,KEAP1_KELCH,-6.42,mock_local
DC-018,普萘洛尔,FXR_LBD,-6.03,mock_local
DC-018,普萘洛尔,KEAP1_KELCH,-5.42,mock_local
DC-019,呋塞米,FXR_LBD,-5.26,mock_local
DC-019,呋塞米,KEAP1_KELCH,-7.03,mock_local
DC-020,别嘌醇,FXR_LBD,-3.48,mock_local
DC-020,别嘌醇,KEAP1_KELCH,-5.36,mock_local
DC-021,葡萄糖,FXR_LBD,-1.58,mock_local
DC-021,葡萄糖,KEAP1_KELCH,-5.87,mock_local
DC-022,甘油,FXR_LBD,-2.51,mock_local
DC-022,甘油,KEAP1_KELCH,-4.46,mock_local
DC-023,尿素,FXR_LBD,-2.21,mock_local
DC-023,尿素,KEAP1_KELCH,-4.62,mock_local
DC-024,烟酰胺,FXR_LBD,-4.32,mock_local
DC-024,烟酰胺,KEAP1_KELCH,-5.13,mock_local
DC-025,水杨酰胺,FXR_LBD,-4.18,mock_local
DC-025,水杨酰胺,KEAP1_KELCH,-5.65,mock_local
DC-026,肉桂酸,FXR_LBD,-5.7,mock_local
DC-026,肉桂酸,KEAP1_KELCH,-4.73,mock_local
DC-027,香草醛,FXR_LBD,-4.73,mock_local
DC-027,香草醛,KEAP1_KELCH,-4.88,mock_local
DC-028,丁香酚,FXR_LBD,-5.61,mock_local
DC-028,丁香酚,KEAP1_KELCH,-4.98,mock_local
DC-029,香豆素,FXR_LBD,-5.06,mock_local
DC-029,香豆素,KEAP1_KELCH,-4.72,mock_local
DC-030,麝香草酚,FXR_LBD,-5.87,mock_local
DC-030,麝香草酚,KEAP1_KELCH,-3.9,mock_local
DC-031,氯霉素,FXR_LBD,-3.93,mock_local
DC-031,氯霉素,KEAP1_KELCH,-5.7,mock_local
DC-032,甲氨蝶呤,FXR_LBD,-4.02,mock_local
DC-032,甲氨蝶呤,KEAP1_KELCH,-8.85,mock_local
DC-033,异烟肼,FXR_LBD,-4.18,mock_local
DC-033,异烟肼,KEAP1_KELCH,-5.41,mock_local
DC-034,吡嗪酰胺,FXR_LBD,-4.24,mock_local
DC-034,吡嗪酰胺,KEAP1_KELCH,-5.29,mock_local
DC-035,苯佐卡因,FXR_LBD,-4.58,mock_local
DC-035,苯佐卡因,KEAP1_KELCH,-4.58,mock_local
DC-036,利多卡因,FXR_LBD,-5.85,mock_local
DC-036,利多卡因,KEAP1_KELCH,-4.26,mock_local
DC-037,酮洛芬,FXR_LBD,-7.03,mock_local
DC-037,酮洛芬,KEAP1_KELCH,-5.68,mock_local
DC-038,萘普生,FXR_LBD,-6.13,mock_local
DC-038,萘普生,KEAP1_KELCH,-4.86,mock_local
DC-039,甲苯磺丁脲,FXR_LBD,-5.4,mock_local
DC-039,甲苯磺丁脲,KEAP1_KELCH,-4.79,mock_local
DC-040,苯甲酸,FXR_LBD,-5.09,mock_local
DC-040,苯甲酸,KEAP1_KELCH,-5.43,mock_local
NV-001,科罗索酸,FXR_LBD,-8.81,mock_local
