target,ligand,affinity_kcal_mol
FXR,alpha-tocopherol,-9.662
FXR,berberine,-8.875
FXR,curcumin,-8.016
FXR,docosahexaenoic_acid,-7.638
FXR,eicosapentaenoic_acid,-7.651
FXR,elafibranor,-8.319
FXR,epigallocatechin_gallate,-8.594
FXR,genistein,-8.094
FXR,lanifibranor,-8.803
FXR,naringenin,-8.989
FXR,quercetin,-8.134
FXR,resmetirom,-9.825
FXR,resveratrol,-7.313
FXR,saroglitazar,-8.899
FXR,silibinin,-8.931
FXR,ursodeoxycholic_acid,-9.451
PPARalpha,alpha-tocopherol,-8.204
PPARalpha,berberine,-7.215
PPARalpha,curcumin,-8.302
PPARalpha,docosahexaenoic_acid,-8.01
PPARalpha,eicosapentaenoic_acid,-7.325
PPARalpha,elafibranor,-7.8
PPARalpha,epigallocatechin_gallate,-7.937
PPARalpha,genistein,-7.26
PPARalpha,lanifibranor,-7.485
PPARalpha,naringenin,-7.355
PPARalpha,quercetin,-7.244
PPARalpha,resmetirom,-8.534
PPARalpha,resveratrol,-6.874
PPARalpha,saroglitazar,-8.273
PPARalpha,silibinin,-7.66
PPARalpha,ursodeoxycholic_acid,-5.278
PPARdelta,alpha-tocopherol,-14.49
PPARdelta,berberine,-9.58
PPARdelta,curcumin,-15.09
PPARdelta,docosahexaenoic_acid,-14.49
PPARdelta,eicosapentaenoic_acid,-14.39
PPARdelta,elafibranor,-10.58
PPARdelta,epigallocatechin_gallate,-9.647
PPARdelta,genistein,-10.65
PPARdelta,lanifibranor,-13.44
PPARdelta,naringenin,-12.79
PPARdelta,quercetin,-9.399
PPARdelta,resmetirom,-11.06
PPARdelta,resveratrol,-14.37
PPARdelta,saroglitazar,-12.86
PPARdelta,silibinin,-10.37
PPARdelta,ursodeoxycholic_acid,-2.526
THRbeta,alpha-tocopherol,-9.325
THRbeta,berberine,-9.123
THRbeta,curcumin,-9.242
THRbeta,docosahexaenoic_acid,-9.419
THRbeta,eicosapentaenoic_acid,-8.79
THRbeta,elafibranor,-7.02
THRbeta,epigallocatechin_gallate,-7.359
THRbeta,genistein,-9.919
THRbeta,lanifibranor,-7.858
THRbeta,naringenin,-8.11
THRbeta,quercetin,-9.822
THRbeta,resmetirom,-9.729
THRbeta,resveratrol,-9.006
THRbeta,saroglitazar,-9.298
THRbeta,silibinin,-3.675
THRbeta,ursodeoxycholic_acid,-7.401
