target,ligand,tag,affinity_kcal_mol,seconds,returncode
PPARalpha,prior_Coptisine,Coptisine|Coptis chinensis(黄连)|CW0.730|in_domain_low_conf(域内低置信),-9.012,3.4,0
PPARalpha,prior_Worenine,Worenine|Coptis chinensis(黄连)|CW0.712|in_domain_low_conf(域内低置信),-7.429,3.6,0
PPARalpha,prior_Epiberberine,Epiberberine|Coptis chinensis(黄连)|CW0.710|in_domain_high_conf(域内高置信),-7.574,5.1,0
PPARalpha,prior_Groenlandicine,Groenlandicine|Coptis chinensis(黄连)|CW0.701|in_domain_high_conf(域内高置信),-7.459,4.2,0
PPARalpha,prior_8-Oxocoptisine,8-Oxocoptisine|Coptis chinensis(黄连)|CW0.695|in_domain_low_conf(域内低置信),-8.054,4.1,0
PPARalpha,prior_Stylopine,Stylopine|Coptis chinensis(黄连)|CW0.680|in_domain_high_conf(域内高置信),-8.143,3.6,0
PPARalpha,prior_Berberrubine,Berberrubine|Coptis chinensis(黄连)|CW0.66|in_domain_high_conf(域内高置信),-7.284,5.1,0
PPARalpha,prior_Berberine,Berberine|Coptis chinensis(黄连)|CW0.656|in_domain_high_conf(域内高置信),-7.215,4.5,0
PPARalpha,prior_Maackiain,Maackiain|Sophora flavescens(苦参)|CW0.629|in_domain_low_conf(域内低置信),-7.955,3.5,0
PPARalpha,prior_Jatrorrhizine,Jatrorrhizine|Coptis chinensis(黄连)|CW0.593|in_domain_high_conf(域内高置信),-6.19,6.6,0
PPARalpha,prior_Licoflavanone,Licoflavanone|Glycyrrhiza uralensis(甘草)|CW0.593|in_domain_high_conf(域内高置信),-8.089,11.1,0
PPARalpha,prior_Triptophenolide,Triptophenolide|Tripterygium wilfordii(雷公藤)|CW0.592|in_domain_high_conf(域内高置信),-7.517,4.3,0
PPARalpha,prior_Columbamine,Columbamine|Coptis chinensis(黄连)|CW0.573|in_domain_high_conf(域内高置信),-6.496,6.7,0
PPARalpha,prior_Salvilenone,Salvilenone|Salvia miltiorrhiza(丹参)|CW0.572|in_domain_high_conf(域内高置信),-8.028,3.3,0
PPARalpha,prior_Palmatine,Palmatine|Coptis chinensis(黄连)|CW0.57|in_domain_high_conf(域内高置信),-6.919,5.6,0
PPARalpha,prior_Anagyrine,Anagyrine|Sophora flavescens(苦参)|CW0.567|in_domain_low_conf(域内低置信),-6.306,2.2,0
PPARalpha,prior_Oxymatrine,Oxymatrine|Sophora flavescens(苦参)|CW0.560|OOD_warning(域外预警),-7.416,2.1,0
PPARalpha,prior_Liquiritigenin,Liquiritigenin|Glycyrrhiza uralensis(甘草)|CW0.554|in_domain_low_conf(域内低置信),-7.039,4.2,0
PPARalpha,prior_Glabridin,Glabridin|Glycyrrhiza uralensis(甘草)|CW0.549|in_domain_low_conf(域内低置信),-6.677,6.3,0
PPARalpha,prior_Glabrene,Glabrene|Glycyrrhiza uralensis(甘草)|CW0.543|in_domain_low_conf(域内低置信),-8.291,7.0,0
PPARalpha,prior_Oxysophocarpine,Oxysophocarpine|Sophora flavescens(苦参)|CW0.542|OOD_warning(域外预警),-8.535,2.6,0
PPARalpha,prior_Canadine,Canadine|Coptis chinensis(黄连)|CW0.539|in_domain_high_conf(域内高置信),-6.818,4.4,0
PPARalpha,prior_Tripterifordin,Tripterifordin|Tripterygium wilfordii(雷公藤)|CW0.539|in_domain_low_conf(域内低置信),-5.078,3.8,0
PPARalpha,prior_Isocryptotanshinone,Isocryptotanshinone|Salvia miltiorrhiza(丹参)|CW0.539|in_domain_high_conf(域内高置信),-8.094,2.5,0
PPARalpha,prior_Neosilyhermin_B,Neosilyhermin_B|Silybum marianum(水飞蓟)|CW0.533|OOD_warning(域外预警),-6.72,22.8,0
PPARalpha,prior_Neoliquiritin,Neoliquiritin|Glycyrrhiza uralensis(甘草)|CW0.533|OOD_warning(域外预警),-8.212,16.9,0
PPARalpha,prior_Liquiritin,Liquiritin|Glycyrrhiza uralensis(甘草)|CW0.531|OOD_warning(域外预警),-8.821,18.0,0
PPARalpha,prior_Glyasperin_C,Glyasperin_C|Glycyrrhiza uralensis(甘草)|CW0.528|in_domain_high_conf(域内高置信),-6.719,12.2,0
PPARalpha,prior_Sugiol,Sugiol|Salvia miltiorrhiza(丹参)|CW0.524|in_domain_high_conf(域内高置信),-7.275,3.8,0
PPARalpha,prior_Miltirone,Miltirone|Salvia miltiorrhiza(丹参)|CW0.524|in_domain_high_conf(域内高置信),-7.24,3.0,0
PPARalpha,prior_Przewalskin,Przewalskin|Salvia miltiorrhiza(丹参)|CW0.523|in_domain_low_conf(域内低置信),-5.906,2.9,0
PPARalpha,prior_Silyhermin,Silyhermin|Silybum marianum(水飞蓟)|CW0.522|OOD_warning(域外预警),-8.304,24.5,0
PPARalpha,prior_Cryptotanshinone,Cryptotanshinone|Salvia miltiorrhiza(丹参)|CW0.520|in_domain_high_conf(域内高置信),-7.335,2.7,0
PPARalpha,prior_Silandrin,Silandrin|Silybum marianum(水飞蓟)|CW0.520|OOD_warning(域外预警),-7.763,21.7,0
PPARalpha,prior_Dihydrotanshinone_I,Dihydrotanshinone_I|Salvia miltiorrhiza(丹参)|CW0.517|in_domain_high_conf(域内高置信),-8.819,2.4,0
PPARalpha,prior_Tanshindiol_C,Tanshindiol_C|Salvia miltiorrhiza(丹参)|CW0.511|in_domain_high_conf(域内高置信),-7.215,4.7,0
PPARalpha,prior_N-Methylcytisine,N-Methylcytisine|Sophora flavescens(苦参)|CW0.509|in_domain_low_conf(域内低置信),-6.602,1.7,0
PPARalpha,prior_Tanshindiol_B,Tanshindiol_B|Salvia miltiorrhiza(丹参)|CW0.508|in_domain_high_conf(域内高置信),-7.463,4.0,0
PPARalpha,prior_Deoxyartemisinin,Deoxyartemisinin|Artemisia annua(青蒿)|CW0.508|OOD_warning(域外预警),-7.483,2.3,0
PPARalpha,prior_Tanshindiol_A,Tanshindiol_A|Salvia miltiorrhiza(丹参)|CW0.505|in_domain_high_conf(域内高置信),-6.947,4.4,0
PPARdelta,prior_Coptisine,Coptisine|Coptis chinensis(黄连)|CW0.730|in_domain_low_conf(域内低置信),-11.88,4.1,0
PPARdelta,prior_Worenine,Worenine|Coptis chinensis(黄连)|CW0.712|in_domain_low_conf(域内低置信),-9.625,3.8,0
PPARdelta,prior_Epiberberine,Epiberberine|Coptis chinensis(黄连)|CW0.710|in_domain_high_conf(域内高置信),-7.457,4.9,0
PPARdelta,prior_Groenlandicine,Groenlandicine|Coptis chinensis(黄连)|CW0.701|in_domain_high_conf(域内高置信),-8.893,5.8,0
PPARdelta,prior_8-Oxocoptisine,8-Oxocoptisine|Coptis chinensis(黄连)|CW0.695|in_domain_low_conf(域内低置信),-8.219,4.4,0
PPARdelta,prior_Stylopine,Stylopine|Coptis chinensis(黄连)|CW0.680|in_domain_high_conf(域内高置信),-8.787,4.3,0
PPARdelta,prior_Berberrubine,Berberrubine|Coptis chinensis(黄连)|CW0.66|in_domain_high_conf(域内高置信),-9.162,6.2,0
PPARdelta,prior_Berberine,Berberine|Coptis chinensis(黄连)|CW0.656|in_domain_high_conf(域内高置信),-9.58,4.9,0
PPARdelta,prior_Maackiain,Maackiain|Sophora flavescens(苦参)|CW0.629|in_domain_low_conf(域内低置信),-9.81,3.5,0
PPARdelta,prior_Jatrorrhizine,Jatrorrhizine|Coptis chinensis(黄连)|CW0.593|in_domain_high_conf(域内高置信),-9.64,6.7,0
PPARdelta,prior_Licoflavanone,Licoflavanone|Glycyrrhiza uralensis(甘草)|CW0.593|in_domain_high_conf(域内高置信),-15.03,12.4,0
PPARdelta,prior_Triptophenolide,Triptophenolide|Tripterygium wilfordii(雷公藤)|CW0.592|in_domain_high_conf(域内高置信),-11.73,5.8,0
PPARdelta,prior_Columbamine,Columbamine|Coptis chinensis(黄连)|CW0.573|in_domain_high_conf(域内高置信),-8.288,7.5,0
PPARdelta,prior_Salvilenone,Salvilenone|Salvia miltiorrhiza(丹参)|CW0.572|in_domain_high_conf(域内高置信),-11.15,4.1,0
PPARdelta,prior_Palmatine,Palmatine|Coptis chinensis(黄连)|CW0.57|in_domain_high_conf(域内高置信),-6.01,7.7,0
PPARdelta,prior_Anagyrine,Anagyrine|Sophora flavescens(苦参)|CW0.567|in_domain_low_conf(域内低置信),-11.17,2.9,0
PPARdelta,prior_Oxymatrine,Oxymatrine|Sophora flavescens(苦参)|CW0.560|OOD_warning(域外预警),-7.995,3.1,0
PPARdelta,prior_Liquiritigenin,Liquiritigenin|Glycyrrhiza uralensis(甘草)|CW0.554|in_domain_low_conf(域内低置信),-12.87,5.3,0
PPARdelta,prior_Glabridin,Glabridin|Glycyrrhiza uralensis(甘草)|CW0.549|in_domain_low_conf(域内低置信),-7.847,7.9,0
PPARdelta,prior_Glabrene,Glabrene|Glycyrrhiza uralensis(甘草)|CW0.543|in_domain_low_conf(域内低置信),-11.71,9.4,0
PPARdelta,prior_Oxysophocarpine,Oxysophocarpine|Sophora flavescens(苦参)|CW0.542|OOD_warning(域外预警),-8.888,3.1,0
PPARdelta,prior_Canadine,Canadine|Coptis chinensis(黄连)|CW0.539|in_domain_high_conf(域内高置信),-6.638,5.4,0
PPARdelta,prior_Tripterifordin,Tripterifordin|Tripterygium wilfordii(雷公藤)|CW0.539|in_domain_low_conf(域内低置信),-0.08942,5.3,0
PPARdelta,prior_Isocryptotanshinone,Isocryptotanshinone|Salvia miltiorrhiza(丹参)|CW0.539|in_domain_high_conf(域内高置信),-13.12,3.6,0
