rank,compound_id,name_cn,category,source_herb,pred_mean,pred_var,confidence,dock_avg_kcal,lipinski_violations,ad_warning,final_score
1,HP-007,黄芩苷,黄酮苷类,黄芩,0.9612,0.0012,0.861,-6.86,0,,0.9288
2,HP-014,二氢杨梅素,黄酮醇类,显齿蛇葡萄(藤茶),0.9653,0.0017,0.835,-7.14,1,,0.8986
3,HP-013,葛根素,异黄酮苷类,葛根,0.9614,0.0018,0.83,-7.03,1,,0.89
4,HP-016,姜黄素,多酚类,姜黄,0.8898,0.005,0.717,-6.94,0,,0.8819
5,HP-009,柚皮素,黄烷酮类,枳实/骨碎补,0.9413,0.0021,0.817,-6.54,0,,0.8814
6,HP-005,木犀草素,黄酮类,金银花,0.9783,0.0008,0.887,-6.43,0,,0.8704
7,HP-015,水飞蓟宾,黄酮木脂素类,水飞蓟,0.9666,0.0011,0.867,-6.39,0,,0.8493
8,NV-009,松脂素,木脂素类,连翘/杜仲,0.8814,0.0068,0.67,-6.64,0,,0.8397
9,HP-001,槲皮素,黄酮类,槐米/银杏叶,0.9718,0.0031,0.777,-6.37,0,,0.82
10,NV-010,落叶松脂素,木脂素类,连翘/亚麻籽,0.7912,0.0097,0.606,-6.89,0,,0.8181
11,HP-034,大黄素甲醚,蒽醌类,决明子/大黄,0.9422,0.0017,0.835,-6.36,0,,0.8145
12,HP-002,山奈酚,黄酮类,银杏叶/桑叶,0.9651,0.001,0.874,-6.25,0,,0.8085
13,HP-029,牛蒡苷,木脂素苷类,牛蒡子,0.9507,0.0009,0.88,-6.56,2,,0.8047
14,HP-028,牛蒡苷元,木脂素类,牛蒡子,0.8616,0.0041,0.744,-6.47,0,,0.7991
15,HP-011,染料木素,异黄酮类,槐角/葛根,0.9483,0.0047,0.726,-6.34,0,,0.7818
16,HP-004,芹菜素,黄酮类,菊花,0.9691,0.002,0.821,-6.13,0,,0.7632
17,HP-032,大黄酸,蒽醌类,大黄,0.972,0.0007,0.894,-6.08,0,,0.7626
18,HP-012,大豆苷元,异黄酮类,葛根,0.9236,0.0055,0.703,-6.33,0,,0.7616
19,HP-006,黄芩素,黄酮类,黄芩,0.9328,0.0055,0.703,-6.16,0,,0.7414
20,HP-008,汉黄芩素,黄酮类,黄芩,0.9323,0.0049,0.72,-6.14,0,,0.7388
21,HP-033,芦荟大黄素,蒽醌类,大黄/芦荟,0.9873,0.0001,0.96,-5.32,0,,0.7303
22,HP-030,开环异落叶松脂素,木脂素类,五味子/亚麻籽,0.6538,0.0113,0.575,-6.53,0,,0.7223
23,HP-046,滨蒿内酯,香豆素类,茵陈,0.9744,0.0003,0.931,-5.07,0,,0.6885
24,HP-031,大黄素,蒽醌类,大黄/何首乌,0.9933,0.0,1.0,-4.49,0,,0.6766
25,NV-008,戈米辛A,木脂素类,五味子,0.5865,0.0206,0.426,-6.53,0,,0.6729
26,HP-047,东莨菪素,香豆素类,东莨菪/桑白皮,0.9772,0.0004,0.92,-4.81,0,,0.6696
27,HP-021,没食子酸,有机酸类,五倍子/山茱萸,0.9528,0.0015,0.845,-4.96,0,,0.6549
28,HP-003,芦丁,黄酮苷类,槐米,0.982,0.0007,0.894,-6.38,3,域外,0.6352
29,HP-045,伞形花内酯,香豆素类,茵陈,0.94,0.0012,0.861,-4.79,0,,0.6352
30,HP-017,白藜芦醇,茋类,虎杖/葡萄,0.5664,0.0453,0.149,-6.49,0,,0.6193
31,HP-036,龙胆苦苷,环烯醚萜苷类,龙胆/秦艽,0.9747,0.0015,0.845,-3.87,0,,0.6106
32,NV-007,五味子甲素,木脂素类,五味子,0.2451,0.0136,0.534,-6.7,0,,0.6049
33,HP-020,绿原酸,有机酸类,金银花/杜仲,0.9511,0.0054,0.706,-5.29,1,,0.6041
34,HP-018,虎杖苷,茋苷类,虎杖,0.8172,0.0113,0.575,-6.1,1,,0.5997
35,HP-037,桃叶珊瑚苷,环烯醚萜苷类,车前草,0.98,0.0005,0.911,-4.13,1,,0.5891
36,HP-022,原儿茶酸,有机酸类,丹参,0.9151,0.0071,0.663,-4.78,0,,0.578
37,HP-027,五味子乙素,木脂素类,五味子,0.2748,0.0165,0.486,-6.52,0,,0.5707
38,HP-042,穿心莲内酯,二萜内酯类,穿心莲,0.7743,0.014,0.527,-5.32,0,,0.5668
39,HP-035,栀子苷,环烯醚萜苷类,栀子,0.9731,0.0015,0.845,-4.25,0,域外,0.5649
40,HP-026,和厚朴酚,木脂素类,厚朴,0.1347,0.0101,0.598,-6.68,0,,0.5628
41,HP-019,红景天苷,苯乙醇苷类,红景天,0.815,0.0112,0.577,-5.09,0,,0.5603
42,HP-010,橙皮苷,黄酮苷类,陈皮,0.9777,0.0003,0.931,-6.06,3,域外,0.5554
43,HP-023,咖啡酸,有机酸类,金银花,0.8018,0.0153,0.505,-4.96,0,,0.5249
44,HP-024,阿魏酸,有机酸类,当归/川芎,0.7392,0.0205,0.427,-5.2,0,,0.5204
45,HP-025,厚朴酚,木脂素类,厚朴,0.1416,0.0067,0.673,-6.48,0,,0.5202
46,NV-004,羟基积雪草酸,三萜类,积雪草,0.7892,0.013,0.544,-5.96,1,域外,0.4992
47,NV-003,积雪草酸,三萜类,积雪草,0.6734,0.0195,0.441,-6.24,2,域外,0.4627
48,HP-048,丹参酮IIA,二萜醌类,丹参,0.6164,0.035,0.252,-5.2,0,,0.4507
49,NV-006,去氢松香酸,二萜类,松香/络石藤,0.1306,0.0066,0.675,-6.17,0,,0.4391
50,NV-012,灵芝酸A,三萜类,灵芝,0.655,0.0222,0.404,-5.66,1,域外,0.4227
51,HP-040,齐墩果酸,三萜类,女贞子,0.3238,0.0243,0.376,-6.43,2,域外,0.4045
52,NV-005,β-乳香酸,三萜类,乳香,0.4986,0.0359,0.242,-5.35,0,域外,0.4015
53,HP-043,小檗碱,生物碱类,黄连/黄柏,0.256,0.0177,0.468,-6.1,0,域外,0.3949
54,NV-001,科罗索酸,三萜类,枇杷叶/熊果,0.4187,0.0501,0.105,-6.36,2,域外,0.3812
55,HP-038,甘草次酸,三萜类,甘草(体内代谢物),0.5964,0.0183,0.459,-5.88,2,域外,0.3783
56,NV-011,奥贝胆酸,甾体酸类,(阳性参照药)FXR激动剂,0.2574,0.0153,0.505,-6.14,1,域外,0.3683
57,NV-002,马斯里酸,三萜类,橄榄叶/山楂,0.5235,0.0245,0.374,-6.01,2,域外,0.3584
58,HP-039,甘草酸,三萜皂苷类,甘草,0.8807,0.0067,0.673,-3.46,3,域外,0.3433
59,HP-041,熊果酸,三萜类,山楂/陆英,0.4134,0.0362,0.239,-5.75,2,域外,0.3005
60,HP-044,苦参碱,生物碱类,苦参,0.0011,0.0,1.0,-4.11,0,,0.2124
